Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,41.68,42.36,3239760,42.6,41.35,42.16,17621,36.98,37.58,3239760,37.79,36.68,37.4,,
2023-03-02,43.29,41.88,4381038,43.55,41.7,42.54,23162,38.4,37.15,4381038,38.63,36.99,37.74,,
2023-03-03,41.69,40.56,2995760,41.79,40.21,40.92,16573,36.98,35.98,2995760,37.07,35.67,36.3,,
2023-03-06,40.22,41.33,2170728,41.34,39.97,40.71,12897,35.68,36.66,2170728,36.67,35.46,36.11,,
2023-03-07,41.36,42,3581333,42.03,40.79,41.47,15486,36.69,37.26,3581333,37.29,36.19,36.79,,
2023-03-08,42.08,42.03,2652607,42.8,41.68,42.19,13392,37.33,37.29,2652607,37.97,36.98,37.43,,
2023-03-09,41.94,43.86,2785881,43.94,41.34,42.78,15191,37.21,38.91,2785881,38.98,36.67,37.95,,
2023-03-10,44.23,45.3,8786189,46.21,43.86,45.26,52289,39.24,40.19,8786189,40.99,38.91,40.15,,
2023-03-13,45.98,44.1,11059119,46.88,43.27,44.49,74681,40.79,39.12,11059119,41.59,38.39,39.47,,
2023-03-14,42.66,43.22,3583912,43.81,42.36,43.16,18603,37.84,38.34,3583912,38.86,37.58,38.29,,
2023-03-15,43.92,42.84,4718989,44.08,42.84,43.5,26817,38.96,38,4718989,39.1,38,38.59,,
2023-03-16,42.41,41.55,3450059,43.04,41.25,41.87,19157,37.62,36.86,3450059,38.18,36.59,37.14,,
2023-03-17,41.67,42.13,2878770,42.76,41.41,42.14,17216,36.97,37.37,2878770,37.93,36.74,37.38,,
2023-03-20,42.3,42.58,3561110,43.27,41.97,42.64,20373,37.53,37.77,3561110,38.39,37.23,37.83,,
2023-03-21,41.94,40.22,4316183,42.15,40.08,40.91,24249,37.21,35.68,4316183,37.39,35.56,36.29,,
2023-03-22,40.17,42.18,2642634,42.23,40.17,41,16907,35.64,37.42,2642634,37.46,35.64,36.37,,
2023-03-23,42.71,42.85,3370787,43.52,41.22,42.52,21063,37.89,38.01,3370787,38.61,36.57,37.72,,
2023-03-24,43.32,42.9,1934337,43.74,42.68,43.22,12257,38.43,38.06,1934337,38.8,37.86,38.34,,
2023-03-27,42.23,42.93,1663195,43.37,41.79,42.68,10712,37.46,38.08,1663195,38.47,37.07,37.86,,
2023-03-28,43.04,43.6,912157,43.83,42.82,43.38,6756,38.18,38.68,912157,38.88,37.99,38.48,,
2023-03-29,42.79,41.87,3078216,43.06,41.81,42.06,12837,37.96,37.14,3078216,38.2,37.09,37.31,,
2023-03-30,41.25,42.01,1521492,42.25,41.07,41.8,9593,36.59,37.27,1521492,37.48,36.43,37.08,,
2023-03-31,41.7,40.1,2430476,41.93,39.91,40.44,13849,36.99,35.57,2430476,37.2,35.41,35.88,,
