Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.3,25.19,13460,25.3,25.15,25.29,125,24.8,24.7,13460,24.8,24.66,24.79,,
2023-03-02,25.2,25.17,7477,25.24,25.16,25.2,61,24.71,24.68,7477,24.74,24.67,24.71,,
2023-03-03,25.15,25.25,5694,25.25,25.15,25.19,45,24.66,24.75,5694,24.75,24.66,24.7,,
2023-03-06,25.3,25.29,18423,25.3,25.18,25.24,214,24.8,24.79,18423,24.8,24.69,24.74,,
2023-03-07,25.21,25.18,11212,25.3,25.17,25.21,117,24.72,24.69,11212,24.8,24.68,24.72,,
2023-03-08,25.29,25.25,8867,25.29,25.2,25.26,54,24.79,24.75,8867,24.79,24.71,24.76,,
2023-03-09,25.3,25.26,8762,25.3,25.26,25.28,43,24.8,24.76,8762,24.8,24.76,24.78,,
2023-03-10,25.36,25.42,25193,25.51,25.36,25.42,113,24.86,24.92,25193,25.01,24.86,24.92,,
2023-03-13,25.41,25.41,9327,25.44,25.41,25.42,32,24.91,24.91,9327,24.94,24.91,24.92,,
2023-03-14,25.41,25.26,5659,25.41,25.26,25.33,44,24.91,24.76,5659,24.91,24.76,24.83,,
2023-03-15,25.26,25.18,6318,25.3,25.18,25.22,53,24.76,24.69,6318,24.8,24.69,24.73,,
2023-03-16,25.29,25.24,4519,25.36,25.18,25.29,83,24.79,24.74,4519,24.86,24.69,24.79,,
2023-03-17,25.33,25.22,2755,25.33,25.18,25.26,45,24.83,24.73,2755,24.83,24.69,24.76,,
2023-03-20,25.18,25.21,3567,25.24,25.18,25.22,35,24.69,24.72,3567,24.74,24.69,24.73,,
2023-03-21,25.2,25.26,5258,25.26,25.19,25.24,39,24.71,24.76,5258,24.76,24.7,24.74,,
2023-03-22,25.25,25.18,5344,25.25,25.18,25.21,30,24.75,24.69,5344,24.75,24.69,24.72,,
2023-03-23,25.18,25.26,1733,25.26,25.18,25.22,19,24.69,24.76,1733,24.76,24.69,24.73,,
2023-03-24,25.16,25.22,5084,25.22,25.16,25.18,36,24.67,24.73,5084,24.73,24.67,24.69,,
2023-03-27,25.21,25.3,4322,25.3,25.16,25.21,26,24.72,24.8,4322,24.8,24.67,24.72,,
2023-03-28,25.45,25.3,1995,25.45,25.3,25.4,23,24.95,24.8,1995,24.95,24.8,24.9,,
2023-03-29,25.22,25.21,12252,25.48,25.16,25.22,116,24.73,24.72,12252,24.98,24.67,24.73,,
2023-03-30,25.38,25.31,1734,25.38,25.27,25.31,24,24.88,24.81,1734,24.88,24.77,24.81,,
2023-03-31,25.23,25.58,13720,25.58,25.23,25.45,118,24.74,25.08,13720,25.08,24.74,24.95,,
