Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,47.79,47.79,2,47.79,47.79,47.68,2,47.79,47.79,2,47.79,47.79,47.68,,
2023-03-02,48.39,48.39,0,48.39,48.39,,undefined,48.39,48.39,0,48.39,48.39,,,
2023-03-03,48.9,48.9,0,48.9,48.9,,undefined,48.9,48.9,0,48.9,48.9,,,
2023-03-06,48.69,48.69,0,48.69,48.69,,undefined,48.69,48.69,0,48.69,48.69,,,
2023-03-07,48.17,48.17,0,48.17,48.17,,undefined,48.17,48.17,0,48.17,48.17,,,
2023-03-08,48.03,48.03,1,48.03,48.03,47.76,1,48.03,48.03,1,48.03,48.03,47.76,,
2023-03-09,47.4,47.4,1,47.4,47.4,48.34,1,47.4,47.4,1,47.4,47.4,48.34,,
2023-03-10,46.77,46.77,0,46.77,46.77,,undefined,46.77,46.77,0,46.77,46.77,,,
2023-03-13,46.54,46.54,0,46.54,46.54,,undefined,46.54,46.54,0,46.54,46.54,,,
2023-03-14,46.7,46.7,1,46.7,46.7,46.71,1,46.7,46.7,1,46.7,46.7,46.71,,
2023-03-15,44.92,44.92,1,44.92,44.92,45.06,1,44.92,44.92,1,44.92,44.92,45.06,,
2023-03-16,45.32,45.32,0,45.32,45.32,,undefined,45.32,45.32,0,45.32,45.32,,,
2023-03-17,44.71,44.71,1,44.71,44.71,45.2,1,44.71,44.71,1,44.71,44.71,45.2,,
2023-03-20,45.15,45.15,1,45.15,45.15,45,1,45.15,45.15,1,45.15,45.15,45,,
2023-03-21,45.8,45.8,0,45.8,45.8,,undefined,45.8,45.8,0,45.8,45.8,,,
2023-03-22,45.1,45.1,0,45.1,45.1,,undefined,45.1,45.1,0,45.1,45.1,,,
2023-03-23,44.59,44.59,0,44.59,44.59,,undefined,44.59,44.59,0,44.59,44.59,,,
2023-03-24,44.92,44.92,0,44.92,44.92,,undefined,44.92,44.92,0,44.92,44.92,,,
2023-03-27,45.52,45.52,1,45.52,45.52,44.92,1,45.52,45.52,1,45.52,45.52,44.92,,
2023-03-28,45.91,45.91,1,45.91,45.91,56.29,1,45.91,45.91,1,45.91,45.91,56.29,,
2023-03-29,46.61,46.61,2,46.61,46.61,46.15,2,46.61,46.61,2,46.61,46.61,46.15,,
2023-03-30,46.9,46.9,1,46.9,46.9,57.6,1,46.9,46.9,1,46.9,46.9,57.6,,
2023-03-31,47.24,47.24,0,47.24,47.24,,undefined,47.24,47.24,0,47.24,47.24,,,
