Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.02,21.21,8408,21.21,20.98,21.11,77,21.02,21.21,8408,21.21,20.98,21.11,,
2023-03-02,20.72,20.74,69704,20.81,20.65,20.66,132,20.72,20.74,69704,20.81,20.65,20.66,,
2023-03-03,20.84,20.69,8457,20.85,20.66,20.78,82,20.84,20.69,8457,20.85,20.66,20.78,,
2023-03-06,20.69,20.68,7989,20.88,20.5,20.69,57,20.69,20.68,7989,20.88,20.5,20.69,,
2023-03-07,20.6,20.18,16739,20.6,20.18,20.32,89,20.6,20.18,16739,20.6,20.18,20.32,,
2023-03-08,20.4,20.49,11395,20.62,20.4,20.49,97,20.4,20.49,11395,20.62,20.4,20.49,,
2023-03-09,20.52,20.38,4873,20.52,20.33,20.45,58,20.52,20.38,4873,20.52,20.33,20.45,,
2023-03-10,20.38,20.35,18290,20.62,20.35,20.45,58,20.38,20.35,18290,20.62,20.35,20.45,,
2023-03-13,20.2,20.58,27193,20.74,20.2,20.44,100,20.2,20.58,27193,20.74,20.2,20.44,,
2023-03-14,20.62,20.42,12589,20.62,20.33,20.4,110,20.62,20.42,12589,20.62,20.33,20.4,,
2023-03-15,19.9,19.77,32218,19.93,19.56,19.72,169,19.9,19.77,32218,19.93,19.56,19.72,,
2023-03-16,19.56,19.75,11683,19.76,19.46,19.6,89,19.56,19.75,11683,19.76,19.46,19.6,,
2023-03-17,19.86,19.78,6998,19.87,19.7,19.81,67,19.86,19.78,6998,19.87,19.7,19.81,,
2023-03-20,19.8,20.1,7818,20.25,19.78,20.1,97,19.8,20.1,7818,20.25,19.78,20.1,,
2023-03-21,20.44,20.39,15008,20.46,20.3,20.39,74,20.44,20.39,15008,20.46,20.3,20.39,,
2023-03-22,20.51,20.63,72167,20.88,20.49,20.66,210,20.51,20.63,72167,20.88,20.49,20.66,,
2023-03-23,20.86,20.85,28525,20.98,20.79,20.91,123,20.86,20.85,28525,20.98,20.79,20.91,,
2023-03-24,20.75,20.78,5460,20.8,20.7,20.74,53,20.75,20.78,5460,20.8,20.7,20.74,,
2023-03-27,20.73,20.88,12111,20.91,20.59,20.66,70,20.73,20.88,12111,20.91,20.59,20.66,,
2023-03-28,20.8,20.78,5619,20.88,20.76,20.82,67,20.8,20.78,5619,20.88,20.76,20.82,,
2023-03-29,21.01,20.81,8595,21.01,20.78,20.93,68,21.01,20.81,8595,21.01,20.78,20.93,,
2023-03-30,20.94,21.02,94441,21.02,20.79,20.94,63,20.94,21.02,94441,21.02,20.79,20.94,,
2023-03-31,20.77,20.82,7979,20.88,20.77,20.85,86,20.77,20.82,7979,20.88,20.77,20.85,,
