Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,34.15,34.42,41253,34.74,34.14,34.35,416,30.49,30.73,41253,31.02,30.48,30.67,,
2023-03-02,34.27,34.73,46830,34.95,34.17,34.66,419,30.6,31.01,46830,31.21,30.51,30.95,,
2023-03-03,34.66,35.21,15822,35.53,34.66,35.27,174,30.95,31.44,15822,31.73,30.95,31.49,,
2023-03-06,35.3,35.1,21718,35.56,35.1,35.33,198,31.52,31.34,21718,31.75,31.34,31.55,,
2023-03-07,35.12,34.61,33640,35.12,34.49,34.72,359,31.36,30.9,33640,31.36,30.8,31,,
2023-03-08,34.47,34.27,19552,34.76,33.99,34.19,214,30.78,30.6,19552,31.04,30.35,30.53,,
2023-03-09,34.11,33.62,27541,34.48,33.61,34.14,285,30.46,30.02,27541,30.79,30.01,30.48,,
2023-03-10,33.67,32.56,61540,33.68,32.53,33.19,558,30.06,29.07,61540,30.07,29.05,29.64,,
2023-03-13,31.83,31.98,29528,32.64,31.38,32.13,367,28.42,28.56,29528,29.14,28.02,28.69,,
2023-03-14,32.07,32.43,38282,33.18,32,32.53,391,28.64,28.96,38282,29.63,28.57,29.05,,
2023-03-15,31.63,30.48,51924,31.63,30.16,30.62,415,28.24,27.22,51924,28.24,26.93,27.34,,
2023-03-16,29.9,31.14,44324,31.14,29.5,30.37,482,26.7,27.81,44324,27.81,26.34,27.12,,
2023-03-17,30.89,30.61,16890,30.89,30.04,30.35,242,27.58,27.33,16890,27.58,26.82,27.1,,
2023-03-20,30.71,30.7,39088,31.39,30.65,31.07,260,27.42,27.41,39088,28.03,27.37,27.74,,
2023-03-21,31.02,31.54,20283,31.77,31.02,31.53,260,27.7,28.16,20283,28.37,27.7,28.15,,
2023-03-22,31.56,30.72,35874,31.67,30.72,31.23,363,28.18,27.43,35874,28.28,27.43,27.89,,
2023-03-23,30.91,29.96,23002,31.12,29.8,30.32,205,27.6,26.75,23002,27.79,26.61,27.07,,
2023-03-24,29.54,30.07,29507,30.3,29.23,29.92,277,26.38,26.85,29507,27.06,26.1,26.72,,
2023-03-27,30.61,31.02,31469,31.13,30.47,30.92,258,27.33,27.7,31469,27.8,27.21,27.61,,
2023-03-28,31.01,31.45,23913,31.56,31.01,31.43,176,27.69,28.08,23913,28.18,27.69,28.06,,
2023-03-29,31.81,32.02,27309,32.07,31.65,31.83,181,28.4,28.59,27309,28.64,28.26,28.42,,
2023-03-30,32.26,32.25,20280,32.32,32.08,32.21,167,28.81,28.8,20280,28.86,28.64,28.76,,
2023-03-31,32.45,32.38,42614,32.6,32.24,32.37,341,28.97,28.91,42614,29.11,28.79,28.9,,
