Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,9.31,9.26,3870,9.31,9.255,9.272,26,9.164,9.115,3870,9.164,9.11,9.126,,
2023-03-02,9.239,9.21,2922,9.239,9.2,9.207,13,9.094,9.065,2922,9.094,9.056,9.062,,
2023-03-03,9.18,9.254,35116,9.265,9.18,9.226,158,9.036,9.109,35116,9.119,9.036,9.081,,
2023-03-06,9.21,9.223,3821,9.24,9.21,9.231,17,9.065,9.078,3821,9.095,9.065,9.086,,
2023-03-07,9.21,9.22,4173,9.229,9.21,9.223,15,9.065,9.075,4173,9.084,9.065,9.078,,
2023-03-08,9.209,9.219,635,9.224,9.209,9.217,7,9.064,9.074,635,9.079,9.064,9.072,,
2023-03-09,9.209,9.199,5206,9.214,9.199,9.206,32,9.064,9.055,5206,9.069,9.055,9.061,,
2023-03-10,9.205,9.285,2569,9.285,9.195,9.222,22,9.06,9.139,2569,9.139,9.051,9.077,,
2023-03-13,9.185,9.175,10899,9.215,9.175,9.199,41,9.041,9.031,10899,9.07,9.031,9.055,,
2023-03-14,9.155,9.175,22059,9.215,9.155,9.19,84,9.029,9.049,22059,9.089,9.029,9.064,0.0185,
2023-03-15,9.145,9.16,14780,9.16,9.125,9.136,51,9.02,9.034,14780,9.034,9,9.011,,
2023-03-16,9.125,9.195,6689,9.195,9.125,9.159,46,9,9.069,6689,9.069,9,9.033,,
2023-03-17,9.185,9.124,27400,9.185,9.115,9.134,108,9.059,8.999,27400,9.059,8.99,9.009,,
2023-03-20,9.125,9.145,40864,9.195,9.125,9.174,92,9,9.02,40864,9.069,9,9.048,,
2023-03-21,9.125,9.195,10469,9.215,9.125,9.191,32,9,9.069,10469,9.089,9,9.065,,
2023-03-22,9.155,9.155,21675,9.19,9.155,9.173,124,9.029,9.029,21675,9.064,9.029,9.047,,
2023-03-23,9.165,9.145,11241,9.215,9.145,9.169,43,9.039,9.02,11241,9.089,9.02,9.043,,
2023-03-24,9.125,9.16,15821,9.18,9.105,9.161,61,9,9.034,15821,9.054,8.98,9.035,,
2023-03-27,9.135,9.185,19002,9.185,9.135,9.168,43,9.01,9.059,19002,9.059,9.01,9.042,,
2023-03-28,9.18,9.18,200,9.18,9.18,9.181,3,9.054,9.054,200,9.054,9.054,9.055,,
2023-03-29,9.165,9.205,8331,9.3,9.165,9.262,52,9.039,9.079,8331,9.172,9.039,9.135,,
2023-03-30,9.264,9.189,27828,9.264,9.114,9.172,123,9.137,9.063,27828,9.137,8.989,9.046,,
2023-03-31,9.184,9.194,21110,9.244,9.184,9.201,95,9.058,9.068,21110,9.117,9.058,9.075,,
