Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,44.4,44.21,2749783,44.44,44.14,44.26,13006,39.45,39.28,2749783,39.49,39.22,39.33,,
2023-03-02,43.99,44.4,1866543,44.47,43.95,44.19,10343,39.09,39.45,1866543,39.51,39.05,39.26,,
2023-03-03,44.53,44.85,1897974,44.88,44.38,44.61,10976,39.57,39.85,1897974,39.88,39.43,39.64,,
2023-03-06,44.88,44.72,1556453,45.05,44.69,44.85,8181,39.88,39.73,1556453,40.03,39.71,39.85,,
2023-03-07,45,44.4,3347381,45.04,44.34,44.6,13379,39.98,39.45,3347381,40.02,39.4,39.63,,
2023-03-08,44.64,44.82,2746833,44.88,44.6,44.76,13832,39.66,39.82,2746833,39.88,39.63,39.77,,
2023-03-09,44.44,43.91,4803051,44.65,43.84,44.26,23317,39.49,39.02,4803051,39.67,38.95,39.33,,
2023-03-10,43.94,43.51,4550438,44.08,43.48,43.77,23831,39.04,38.66,4550438,39.17,38.63,38.89,,
2023-03-13,43.55,43.87,8597937,44.12,43.54,43.89,40878,38.7,38.98,8597937,39.2,38.69,39,,
2023-03-14,43.86,43.96,3452234,44.06,43.71,43.9,16983,38.97,39.06,3452234,39.15,38.84,39.01,,
2023-03-15,42.79,43.05,5765811,43.05,42.6,42.85,28933,38.02,38.25,5765811,38.25,37.85,38.07,,
2023-03-16,43.1,43.78,4146784,43.8,43.04,43.48,21335,38.3,38.9,4146784,38.92,38.24,38.63,,
2023-03-17,43.72,43.59,3072968,43.84,43.53,43.66,19437,38.85,38.73,3072968,38.95,38.68,38.79,,
2023-03-20,43.84,44,1639093,44.03,43.72,43.9,11580,38.95,39.1,1639093,39.12,38.85,39.01,,
2023-03-21,44.27,44.45,2349022,44.5,44.15,44.35,12346,39.33,39.49,2349022,39.54,39.23,39.41,,
2023-03-22,45.01,44.88,4117424,45.65,44.86,45.16,21950,39.99,39.88,4117424,40.56,39.86,40.13,,
2023-03-23,45.52,45.49,3062034,45.86,45.25,45.54,17864,40.45,40.42,3062034,40.75,40.21,40.46,,
2023-03-24,45.39,45.52,2139674,45.52,45.15,45.33,14041,40.33,40.45,2139674,40.45,40.12,40.28,,
2023-03-27,45.22,45.21,1934225,45.24,45.02,45.13,11635,40.18,40.17,1934225,40.2,40,40.1,,
2023-03-28,45.04,45.05,1710685,45.08,44.81,44.97,11389,40.02,40.03,1710685,40.05,39.81,39.96,,
2023-03-29,45.17,45.19,3606808,45.25,45.05,45.15,23844,40.13,40.15,3606808,40.21,40.03,40.12,,
2023-03-30,45.37,45.34,2181458,45.41,45.21,45.32,15048,40.31,40.29,2181458,40.35,40.17,40.27,,
2023-03-31,45.25,45.35,1925826,45.44,45.2,45.32,10573,40.21,40.29,1925826,40.37,40.16,40.27,,
