Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,32.48,32.48,1576576,32.56,32.32,32.45,6807,31.15,31.15,1576576,31.23,31,31.12,,
2023-03-02,32.2,32.5,886882,32.52,32.2,32.38,5702,30.88,31.17,886882,31.19,30.88,31.05,,
2023-03-03,32.44,32.72,1075030,32.72,32.41,32.57,5791,31.11,31.38,1075030,31.38,31.08,31.24,,
2023-03-06,32.4,32.51,749979,32.61,32.38,32.51,4282,31.07,31.18,749979,31.27,31.05,31.18,,
2023-03-07,32.49,31.87,2144040,32.49,31.82,32.04,8004,31.16,30.56,2144040,31.16,30.52,30.73,,
2023-03-08,31.97,32.05,1172417,32.14,31.93,32.02,5496,30.66,30.74,1172417,30.82,30.62,30.71,,
2023-03-09,32.11,31.79,1689553,32.17,31.78,32.01,7714,30.79,30.49,1689553,30.85,30.48,30.7,,
2023-03-10,31.89,31.59,1533530,32.02,31.55,31.75,9853,30.58,30.3,1533530,30.71,30.26,30.45,,
2023-03-13,31.24,31.39,5776954,31.6,31.21,31.41,17971,29.96,30.1,5776954,30.31,29.93,30.12,,
2023-03-14,31.62,31.71,2538282,31.74,31.52,31.64,11533,30.32,30.41,2538282,30.44,30.23,30.34,,
2023-03-15,30.52,30.52,7231134,30.67,30.01,30.41,15733,29.27,29.27,7231134,29.41,28.78,29.16,,
2023-03-16,30.26,30.92,3218772,30.92,30.25,30.68,11672,29.02,29.65,3218772,29.65,29.01,29.42,,
2023-03-17,30.54,30.45,3312996,30.64,30.35,30.48,9496,29.29,29.2,3312996,29.38,29.11,29.23,,
2023-03-20,30.81,31.1,1502418,31.18,30.79,31,7687,29.55,29.83,1502418,29.9,29.53,29.73,,
2023-03-21,31.54,31.55,1212770,31.61,31.34,31.48,6550,30.25,30.26,1212770,30.31,30.06,30.19,,
2023-03-22,31.59,31.49,1334694,31.99,31.47,31.69,6603,30.3,30.2,1334694,30.68,30.18,30.39,,
2023-03-23,31.63,31.27,1301571,31.76,31.13,31.45,5893,30.33,29.99,1301571,30.46,29.85,30.16,,
2023-03-24,30.98,31.13,4465456,31.15,30.82,31.01,8373,29.71,29.85,4465456,29.87,29.56,29.74,,
2023-03-27,31.42,31.54,1395981,31.56,31.34,31.45,7760,30.13,30.25,1395981,30.27,30.06,30.16,,
2023-03-28,31.48,31.53,770756,31.65,31.45,31.53,4928,30.19,30.24,770756,30.35,30.16,30.24,,
2023-03-29,31.87,31.9,1290148,31.93,31.79,31.87,8064,30.56,30.59,1290148,30.62,30.49,30.56,,
2023-03-30,32.24,32.3,1303696,32.3,32.19,32.25,6560,30.92,30.98,1303696,30.98,30.87,30.93,,
2023-03-31,32.35,32.27,1975664,32.41,32.2,32.29,6888,31.02,30.95,1975664,31.08,30.88,30.97,,
