Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,13.5,13.46,14557,13.61,13.21,13.36,87,12.64,12.6,14557,12.74,12.37,12.51,,
2023-03-02,13,12.92,23836,13.19,12.77,13.02,211,12.17,12.1,23836,12.35,11.95,12.19,,
2023-03-03,12.88,13.44,15844,13.44,12.88,13.21,118,12.06,12.58,15844,12.58,12.06,12.37,,
2023-03-06,13.53,13.31,34441,13.53,13.3,13.49,48,12.67,12.46,34441,12.67,12.45,12.63,,
2023-03-07,13.11,13.34,6121,13.62,13.11,13.38,49,12.27,12.49,6121,12.75,12.27,12.53,,
2023-03-08,13.29,13.28,14765,13.33,13.16,13.31,59,12.44,12.43,14765,12.48,12.32,12.46,,
2023-03-09,13.12,13.26,6618,13.52,13.12,13.37,77,12.28,12.41,6618,12.66,12.28,12.52,,
2023-03-10,13.4,13.23,25621,13.46,13.08,13.34,105,12.54,12.39,25621,12.6,12.24,12.49,,
2023-03-13,13.07,13.19,4339,13.44,12.91,13.2,104,12.24,12.35,4339,12.58,12.09,12.36,,
2023-03-14,13.12,13.27,3021,13.43,13.12,13.3,39,12.28,12.42,3021,12.57,12.28,12.45,,
2023-03-15,13.14,13.1,11381,13.23,13.02,13.09,111,12.3,12.26,11381,12.39,12.19,12.25,,
2023-03-16,13.1,13.3,868,13.3,13.09,13.12,30,12.26,12.45,868,12.45,12.25,12.28,,
2023-03-17,13.11,13.02,8766,13.2,12.97,13.06,57,12.27,12.19,8766,12.36,12.14,12.23,,
2023-03-20,12.97,13.04,13708,13.06,12.9,13.01,72,12.14,12.21,13708,12.23,12.08,12.18,,
2023-03-21,13.07,13.01,8161,13.07,12.77,12.94,71,12.24,12.18,8161,12.24,11.95,12.11,,
2023-03-22,12.95,12.77,9569,13.01,12.77,12.87,63,12.12,11.95,9569,12.18,11.95,12.05,,
2023-03-23,12.76,12.64,6932,12.96,12.63,12.77,99,11.95,11.83,6932,12.13,11.82,11.95,,
2023-03-24,12.74,12.7,4511,12.75,12.61,12.68,40,11.93,11.89,4511,11.94,11.8,11.87,,
2023-03-27,12.86,12.67,13263,12.86,12.66,12.78,43,12.04,11.86,13263,12.04,11.85,11.96,,
2023-03-28,12.6,12.7,2265,12.81,12.6,12.72,30,11.8,11.89,2265,11.99,11.8,11.91,,
2023-03-29,12.66,12.71,3991,12.71,12.66,12.7,37,11.85,11.9,3991,11.9,11.85,11.89,,
2023-03-30,12.8,12.68,11079,12.8,12.5,12.74,70,11.98,11.87,11079,11.98,11.7,11.93,,
2023-03-31,12.61,12.73,5485,12.8,12.61,12.74,41,11.8,11.92,5485,11.98,11.8,11.93,,
