Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,68.57,68.63,692,68.63,68.29,68.49,31,67.98,68.04,692,68.04,67.7,67.9,,
2023-03-02,69.16,69.16,257,69.16,69.16,68.59,16,68.57,68.57,257,68.57,68.57,68,,
2023-03-03,69.19,69.68,313,69.68,69.19,69.37,14,68.6,69.08,313,69.08,68.6,68.77,,
2023-03-06,69.86,69.34,336,69.86,69.34,69.72,16,69.26,68.74,336,69.26,68.74,69.12,,
2023-03-07,68.85,68.69,534,68.85,68.69,68.89,11,68.26,68.1,534,68.26,68.1,68.3,,
2023-03-08,68.39,68.89,575,68.89,68.39,68.51,22,67.8,68.3,575,68.3,67.8,67.92,,
2023-03-09,68.06,67.85,1415,68.06,67.81,67.96,19,67.47,67.27,1415,67.47,67.23,67.38,,
2023-03-10,67.23,67.03,2718,67.45,66.73,67.14,32,66.65,66.45,2718,66.87,66.16,66.56,,
2023-03-13,66.08,65.82,1421,66.08,65.82,66.01,25,65.51,65.25,1421,65.51,65.25,65.44,,
2023-03-14,66.32,66.39,763,66.39,65.86,66.23,16,65.75,65.82,763,65.82,65.29,65.66,,
2023-03-15,65.17,65.79,1178,65.79,65.17,65.48,18,64.61,65.22,1178,65.22,64.61,64.92,,
2023-03-16,66.75,67.16,1405,67.16,66.75,66.95,28,66.18,66.58,1405,66.58,66.18,66.37,,
2023-03-17,65.54,65.82,3575,65.82,65.49,65.62,33,64.98,65.25,3575,65.25,64.93,65.06,,
2023-03-20,66.26,66.41,682,66.41,66.26,66.34,18,65.92,66.07,682,66.07,65.92,66,0.22952,
2023-03-21,67.52,67.44,846,67.8,67.44,67.52,23,67.17,67.09,846,67.45,67.09,67.17,,
2023-03-22,66.57,66.3,1409,66.66,66.3,66.68,19,66.23,65.96,1409,66.32,65.96,66.34,,
2023-03-23,65.17,65.53,250,65.53,65.17,65.68,15,64.84,65.19,250,65.19,64.84,65.34,,
2023-03-24,65.73,65.73,155,65.73,65.73,65.57,17,65.39,65.39,155,65.39,65.39,65.23,,
2023-03-27,66.37,66.37,157,66.37,66.37,66.11,6,66.03,66.03,157,66.03,66.03,65.77,,
2023-03-28,66.64,67.01,1812,67.11,66.64,66.9,20,66.3,66.67,1812,66.77,66.3,66.56,,
2023-03-29,67.12,67.18,274,67.18,67.12,67.04,8,66.78,66.84,274,66.84,66.78,66.7,,
2023-03-30,67.53,67.64,984,67.89,67.5,67.66,12,67.18,67.29,984,67.54,67.15,67.31,,
2023-03-31,68.55,68.76,210,68.76,68.55,68.54,8,68.2,68.41,210,68.41,68.2,68.19,,
