Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,16.52,16.34,118693,17.25,16.34,16.69,2253,16.52,16.34,118693,17.25,16.34,16.69,,
2023-03-02,16.36,15.91,212218,16.89,15.77,15.97,3257,16.36,15.91,212218,16.89,15.77,15.97,,
2023-03-03,16.06,16.48,101003,16.76,15.83,16.34,2062,16.06,16.48,101003,16.76,15.83,16.34,,
2023-03-06,16.7,15.8,203583,16.7,15.34,15.73,2840,16.7,15.8,203583,16.7,15.34,15.73,,
2023-03-07,15.88,15.43,148479,15.89,15.38,15.52,2372,15.88,15.43,148479,15.89,15.38,15.52,,
2023-03-08,15.4,15.33,97901,16.11,15.27,15.46,2607,15.4,15.33,97901,16.11,15.27,15.46,,
2023-03-09,15.67,14.72,239717,15.86,14.65,15.06,3370,15.67,14.72,239717,15.86,14.65,15.06,,
2023-03-10,14.66,13.86,294890,14.81,13.15,13.81,4246,14.66,13.86,294890,14.81,13.15,13.81,,
2023-03-13,13.59,14.19,129932,14.59,13.44,14.14,2080,13.59,14.19,129932,14.59,13.44,14.14,,
2023-03-14,14.63,13.54,145580,14.63,13.37,13.68,2170,14.63,13.54,145580,14.63,13.37,13.68,,
2023-03-15,13.23,12.99,247076,13.43,12.61,13.08,3353,13.23,12.99,247076,13.43,12.61,13.08,,
2023-03-16,12.84,13.22,151818,13.41,12.62,13.17,2686,12.84,13.22,151818,13.41,12.62,13.17,,
2023-03-17,13.1,12.3,290199,13.24,12.3,12.5,2829,13.1,12.3,290199,13.24,12.3,12.5,,
2023-03-20,12.44,12.91,226462,13.01,12.23,12.61,2110,12.44,12.91,226462,13.01,12.23,12.61,,
2023-03-21,13.02,13.29,128608,13.44,12.72,13.14,1556,13.02,13.29,128608,13.44,12.72,13.14,,
2023-03-22,13.3,12.41,358818,13.3,12.4,12.61,3741,13.3,12.41,358818,13.3,12.4,12.61,,
2023-03-23,12.43,11.59,280490,12.48,11.41,11.89,3391,12.43,11.59,280490,12.48,11.41,11.89,,
2023-03-24,11.44,11.22,183025,11.83,11.08,11.32,2465,11.44,11.22,183025,11.83,11.08,11.32,,
2023-03-27,11.5,11.88,217801,12.02,11.39,11.78,2424,11.5,11.88,217801,12.02,11.39,11.78,,
2023-03-28,11.9,11.9,115862,12.2,11.81,11.97,1760,11.9,11.9,115862,12.2,11.81,11.97,,
2023-03-29,12.03,12.54,217979,12.77,12.03,12.49,1735,12.03,12.54,217979,12.77,12.03,12.49,,
2023-03-30,12.68,12.28,134434,12.68,12.16,12.32,1390,12.68,12.28,134434,12.68,12.16,12.32,,
2023-03-31,12.34,12.3,196613,12.43,11.88,12.25,2321,12.34,12.3,196613,12.43,11.88,12.25,,
