Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,29.94,30.6,1322009,30.86,29.69,30.38,7298,28.35,28.98,1322009,29.22,28.12,28.77,,
2023-03-02,31.1,29.47,1931234,31.1,29.19,30.27,11812,29.45,27.91,1931234,29.45,27.64,28.67,,
2023-03-03,28.89,27.64,1905081,29.02,27.62,28.19,10589,27.36,26.18,1905081,27.48,26.16,26.7,,
2023-03-06,27.15,27.2,1559813,27.3,26.09,26.78,9053,25.71,25.76,1559813,25.85,24.71,25.36,,
2023-03-07,27.27,28.26,1795738,28.46,26.99,27.8,8954,25.82,26.76,1795738,26.95,25.56,26.33,,
2023-03-08,27.96,27.57,1742093,28.46,27.46,27.79,8894,26.48,26.11,1742093,26.95,26,26.32,,
2023-03-09,27.38,28.73,2915776,28.92,26.52,27.67,13599,25.93,27.21,2915776,27.39,25.11,26.2,,
2023-03-10,28.73,30.33,3684049,30.68,28.72,29.95,17277,27.21,28.72,3684049,29.05,27.2,28.36,,
2023-03-13,30.84,29.84,3150911,31.51,28.59,29.58,18440,29.21,28.26,3150911,29.84,27.07,28.01,,
2023-03-14,28.7,27.87,1876559,29.08,27.49,28.27,10409,27.18,26.39,1876559,27.54,26.03,26.77,,
2023-03-15,28.68,27.78,2801064,29.12,27.69,28.52,13055,27.16,26.31,2801064,27.58,26.22,27.01,,
2023-03-16,28.12,25.41,3360984,28.36,25.34,26.53,18236,26.63,24.06,3360984,26.86,24,25.12,,
2023-03-17,25.29,25.55,2073189,26.01,24.66,25.41,9664,23.95,24.2,2073189,24.63,23.35,24.06,,
2023-03-20,25.76,25.38,1511267,26.31,25.3,25.78,7975,24.39,24.04,1511267,24.92,23.96,24.41,,
2023-03-21,24.75,24.47,1104895,25.51,24.38,24.84,6228,23.69,23.42,1104895,24.42,23.34,23.78,0.27067,
2023-03-22,24.57,25.25,1921153,25.27,23.07,24.09,8969,23.52,24.17,1921153,24.19,22.08,23.06,,
2023-03-23,24.33,24.03,2640776,24.78,23.01,23.87,12610,23.29,23,2640776,23.72,22.03,22.85,,
2023-03-24,24.28,23.84,1902051,24.76,23.84,24.37,9234,23.24,22.82,1902051,23.7,22.82,23.33,,
2023-03-27,23.77,24.45,1209081,24.63,23.53,24.09,6281,22.75,23.4,1209081,23.58,22.52,23.06,,
2023-03-28,24.6,24.8,937723,25.46,24.56,25.1,4937,23.55,23.74,937723,24.37,23.51,24.03,,
2023-03-29,23.94,23.26,1543826,23.98,23.08,23.62,8431,22.92,22.26,1543826,22.95,22.09,22.61,,
2023-03-30,22.62,22.48,1351529,22.93,22.35,22.61,6683,21.65,21.52,1351529,21.95,21.39,21.64,,
2023-03-31,22.56,21.55,1493325,22.66,21.46,21.96,6847,21.59,20.63,1493325,21.69,20.54,21.02,,
