Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,67.14,68.07,2577618,68.12,66.73,67.54,17611,67.14,68.07,2577618,68.12,66.73,67.54,,
2023-03-02,68.44,68.3,1628091,68.76,67.89,68.32,10785,68.44,68.3,1628091,68.76,67.89,68.32,,
2023-03-03,67.19,69.86,5179280,69.91,67.14,68.76,30572,67.19,69.86,5179280,69.91,67.14,68.76,,
2023-03-06,69.29,70.49,3977842,70.52,69.05,70.03,21931,69.29,70.49,3977842,70.52,69.05,70.03,,
2023-03-07,70.14,67.85,5071165,70.22,67.56,68.49,35274,70.14,67.85,5071165,70.22,67.56,68.49,,
2023-03-08,67.12,67.09,3017758,67.84,66.77,67.2,18259,67.12,67.09,3017758,67.84,66.77,67.2,,
2023-03-09,67.89,66.23,2436383,68.38,66.16,67.14,17412,67.89,66.23,2436383,68.38,66.16,67.14,,
2023-03-10,66.4,67.17,2990951,67.59,66.23,66.93,21715,66.4,67.17,2990951,67.59,66.23,66.93,,
2023-03-13,64.54,65.28,5206460,66.85,64.1,65.45,34347,64.54,65.28,5206460,66.85,64.1,65.45,,
2023-03-14,64.05,62.96,6370590,65.35,62.37,63.82,40246,64.05,62.96,6370590,65.35,62.37,63.82,,
2023-03-15,60.29,60.05,13753411,61,57.97,59.74,86068,60.29,60.05,13753411,61,57.97,59.74,,
2023-03-16,58.75,60.08,8454099,61.12,58.07,59.69,49644,58.75,60.08,8454099,61.12,58.07,59.69,,
2023-03-17,59.97,58.69,9076237,60.05,57.86,58.92,55457,59.97,58.69,9076237,60.05,57.86,58.92,,
2023-03-20,58.76,59.82,5394323,59.9,58.08,58.99,36569,58.76,59.82,5394323,59.9,58.08,58.99,,
2023-03-21,60.57,61.26,3977135,61.35,60.14,60.9,28389,60.57,61.26,3977135,61.35,60.14,60.9,,
2023-03-22,61.42,61.64,3514529,62.7,60.95,61.8,25548,61.42,61.64,3514529,62.7,60.95,61.8,,
2023-03-23,62.54,61.02,2636770,63.05,60.93,62.1,21408,62.54,61.02,2636770,63.05,60.93,62.1,,
2023-03-24,60.34,60.99,3724854,61.28,59.87,60.62,28548,60.34,60.99,3724854,61.28,59.87,60.62,,
2023-03-27,62.27,64.18,8705513,64.3,61.89,63.62,38938,62.27,64.18,8705513,64.3,61.89,63.62,,
2023-03-28,63.79,64.58,4151576,65.01,63.79,64.52,20217,63.79,64.58,4151576,65.01,63.79,64.52,,
2023-03-29,65.04,64.18,2594349,65.38,64.03,64.61,17134,65.04,64.18,2594349,65.38,64.03,64.61,,
2023-03-30,64.84,65.35,3296445,65.57,64.22,65.13,19704,64.84,65.35,3296445,65.57,64.22,65.13,,
2023-03-31,65.95,66.47,2731792,66.53,65.29,66.21,20233,65.95,66.47,2731792,66.53,65.29,66.21,,
