Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.1,25.01,9295,25.1,25.01,25.05,100,25.1,25.01,9295,25.1,25.01,25.05,,
2023-03-02,25.02,25.04,4112,25.04,24.99,25.02,53,25.02,25.04,4112,25.04,24.99,25.02,,
2023-03-03,25.02,25.1,7510,25.1,24.92,24.99,107,25.02,25.1,7510,25.1,24.92,24.99,,
2023-03-06,25.04,25,11393,25.07,24.98,25.02,127,25.04,25,11393,25.07,24.98,25.02,,
2023-03-07,24.95,25,21083,25.04,24.94,24.98,126,24.95,25,21083,25.04,24.94,24.98,,
2023-03-08,25.05,25.05,4155,25.08,25,25.03,25,25.05,25.05,4155,25.08,25,25.03,,
2023-03-09,25.12,25.01,10049,25.12,25,25.04,68,25.12,25.01,10049,25.12,25,25.04,,
2023-03-10,25.01,24.31,53031,25.01,24.26,24.6,389,25.01,24.31,53031,25.01,24.26,24.6,,
2023-03-13,24.16,23.97,55376,24.36,23.89,24.1,236,24.16,23.97,55376,24.36,23.89,24.1,,
2023-03-14,24.26,24.55,36405,24.74,24.01,24.44,229,24.26,24.55,36405,24.74,24.01,24.44,,
2023-03-15,24.63,24.42,20237,24.71,24.26,24.41,111,24.63,24.42,20237,24.71,24.26,24.41,,
2023-03-16,24.46,24.5,16066,24.73,24.37,24.53,159,24.46,24.5,16066,24.73,24.37,24.53,,
2023-03-17,24.51,24.34,21902,24.52,24.01,24.3,111,24.51,24.34,21902,24.52,24.01,24.3,,
2023-03-20,24.29,24.01,58224,24.55,23.69,24.14,381,24.29,24.01,58224,24.55,23.69,24.14,,
2023-03-21,24.15,24.61,10139,24.71,24.14,24.54,79,24.15,24.61,10139,24.71,24.14,24.54,,
2023-03-22,24.65,24.51,39383,24.81,24.51,24.76,79,24.65,24.51,39383,24.81,24.51,24.76,,
2023-03-23,24.61,24.12,24325,24.86,24.11,24.44,165,24.61,24.12,24325,24.86,24.11,24.44,,
2023-03-24,24.26,24.46,13108,24.61,24.26,24.46,114,24.26,24.46,13108,24.61,24.26,24.46,,
2023-03-27,24.64,24.46,10633,24.72,24.46,24.58,140,24.64,24.46,10633,24.72,24.46,24.58,,
2023-03-28,24.56,24.57,18405,24.71,24.46,24.57,137,24.56,24.57,18405,24.71,24.46,24.57,,
2023-03-29,24.58,24.61,17817,24.73,24.55,24.63,105,24.58,24.61,17817,24.73,24.55,24.63,,
2023-03-30,24.73,24.69,21558,24.76,24.58,24.69,190,24.73,24.69,21558,24.76,24.58,24.69,,
2023-03-31,24.7,25.09,23440,25.1,24.69,24.93,234,24.7,25.09,23440,25.1,24.69,24.93,,
