Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,17,16.97,22766,17.07,16.77,16.92,247,17,16.97,22766,17.07,16.77,16.92,,
2023-03-02,16.82,16.83,55503,16.87,16.6,16.73,476,16.82,16.83,55503,16.87,16.6,16.73,,
2023-03-03,16.95,16.95,36381,17.01,16.81,16.9,266,16.95,16.95,36381,17.01,16.81,16.9,,
2023-03-06,17,17.02,34757,17.07,16.91,16.99,330,17,17.02,34757,17.07,16.91,16.99,,
2023-03-07,17.09,16.88,115916,17.09,16.82,16.93,329,17.09,16.88,115916,17.09,16.82,16.93,,
2023-03-08,16.92,16.92,14081,16.99,16.84,16.9,159,16.92,16.92,14081,16.99,16.84,16.9,,
2023-03-09,16.94,16.2,136778,16.94,16,16.37,1028,16.94,16.2,136778,16.94,16,16.37,,
2023-03-10,15.43,13.91,1416170,15.79,13.53,14.17,2803,15.43,13.91,1416170,15.79,13.53,14.17,,
2023-03-13,10,10.19,4130843,10.55,7.234,8.848,7794,10,10.19,4130843,10.55,7.234,8.848,,
2023-03-14,13.66,9.965,1903997,13.66,9.755,11.58,5037,13.66,9.965,1903997,13.66,9.755,11.58,,
2023-03-15,8.794,8.604,5601873,9.811,7.704,8.586,5099,8.794,8.604,5601873,9.811,7.704,8.586,,
2023-03-16,7.874,12.96,4648176,13.82,7.874,11.16,12007,7.874,12.96,4648176,13.82,7.874,11.16,,
2023-03-17,11.01,9.065,2925727,11.27,8.564,9.393,8352,11.01,9.065,2925727,11.27,8.564,9.393,,
2023-03-20,8.514,6.923,2066044,9.205,6.863,7.89,7422,8.514,6.923,2066044,9.205,6.863,7.89,,
2023-03-21,8.294,8.454,3280717,8.914,8.154,8.387,5529,8.294,8.454,3280717,8.914,8.154,8.387,,
2023-03-22,8.264,5.883,4120890,8.264,5.783,6.76,9981,8.264,5.883,4120890,8.264,5.783,6.76,,
2023-03-23,6.663,5.893,2153298,6.663,5.063,5.709,6141,6.663,5.893,2153298,6.663,5.063,5.709,,
2023-03-24,5.703,5.383,1318714,6.373,5.213,5.794,4956,5.703,5.383,1318714,6.373,5.213,5.794,,
2023-03-27,6.693,6.013,824809,6.803,5.708,5.971,5837,6.693,6.013,824809,6.803,5.708,5.971,,
2023-03-28,6.083,5.023,650577,6.193,5.002,5.307,4502,6.083,5.023,650577,6.193,5.002,5.307,,
2023-03-29,5.103,5.033,879500,5.453,5.013,5.154,3372,5.103,5.033,879500,5.453,5.013,5.154,,
2023-03-30,5.192,5.262,1061389,5.462,5.002,5.176,3781,5.192,5.262,1061389,5.462,5.002,5.176,,
2023-03-31,5.202,5.342,2944760,6.042,5.077,5.368,4211,5.202,5.342,2944760,6.042,5.077,5.368,,
