Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.13,25.2,3394,25.2,24.91,25.09,50,25.13,25.2,3394,25.2,24.91,25.09,,
2023-03-02,24.98,24.98,10396,24.99,24.91,24.96,61,24.98,24.98,10396,24.99,24.91,24.96,,
2023-03-03,24.94,24.96,10050,25.03,24.94,25,120,24.94,24.96,10050,25.03,24.94,25,,
2023-03-06,25.08,25.12,43117,25.18,24.98,25.13,318,25.08,25.12,43117,25.18,24.98,25.13,,
2023-03-07,25.12,25,15739,25.17,24.97,25.07,117,25.12,25,15739,25.17,24.97,25.07,,
2023-03-08,25.1,25.09,18302,25.15,25,25.05,64,25.1,25.09,18302,25.15,25,25.05,,
2023-03-09,25.07,24.91,11236,25.1,24.91,25.04,126,25.07,24.91,11236,25.1,24.91,25.04,,
2023-03-10,24.91,24.68,25618,25.05,24.41,24.68,201,24.91,24.68,25618,25.05,24.41,24.68,,
2023-03-13,24.65,24.22,36632,24.65,23.52,24.03,281,24.65,24.22,36632,24.65,23.52,24.03,,
2023-03-14,24.06,24.21,8643,24.26,23.96,24.15,99,24.06,24.21,8643,24.26,23.96,24.15,,
2023-03-15,24.26,23.97,20142,24.26,23.9,24.07,167,24.26,23.97,20142,24.26,23.9,24.07,,
2023-03-16,24.04,24.21,13931,24.23,23.71,24.02,165,24.04,24.21,13931,24.23,23.71,24.02,,
2023-03-17,24.2,23.85,2446,24.2,23.85,23.98,32,24.2,23.85,2446,24.2,23.85,23.98,,
2023-03-20,23.8,23.81,7412,23.95,23.77,23.83,66,23.8,23.81,7412,23.95,23.77,23.83,,
2023-03-21,23.8,24.11,15300,24.15,23.8,23.99,122,23.8,24.11,15300,24.15,23.8,23.99,,
2023-03-22,24.18,23.95,7622,24.4,23.95,24.14,39,24.18,23.95,7622,24.4,23.95,24.14,,
2023-03-23,24.07,23.92,7623,24.31,23.92,24.1,93,24.07,23.92,7623,24.31,23.92,24.1,,
2023-03-24,23.71,24.03,4459,24.1,23.71,23.91,42,23.71,24.03,4459,24.1,23.71,23.91,,
2023-03-27,23.97,23.92,17968,24.2,23.51,23.94,129,23.97,23.92,17968,24.2,23.51,23.94,,
2023-03-28,24.18,23.63,10403,24.18,23.63,23.96,108,24.18,23.63,10403,24.18,23.63,23.96,,
2023-03-29,23.97,23.68,18571,24.1,23.56,23.74,274,23.97,23.68,18571,24.1,23.56,23.74,,
2023-03-30,23.99,23.75,18263,24.07,23.34,23.73,209,23.99,23.75,18263,24.07,23.34,23.73,,
2023-03-31,23.79,23.27,380651,23.97,22.61,23.25,938,23.79,23.27,380651,23.97,22.61,23.25,,
