Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-08,0.19,0.19,408,0.19,0.19,0.19,5,0.19,0.19,408,0.19,0.19,0.19,,
2023-03-09,0.15,0.1582,1010745,0.1582,0.15,0.15,3,0.15,0.1582,1010745,0.1582,0.15,0.15,,
2023-03-15,0.1283,0.19,17902,0.19,0.1201,0.1206,13,0.1283,0.19,17902,0.19,0.1201,0.1206,,
2023-03-20,0.2001,0.1902,68860,0.2002,0.1901,0.193,18,0.2001,0.1902,68860,0.2002,0.1901,0.193,,
2023-03-21,0.2001,0.2001,77139,0.2101,0.2001,0.2008,7,0.2001,0.2001,77139,0.2101,0.2001,0.2008,,
2023-03-23,0.249,0.25,300,0.25,0.249,0.2497,3,0.249,0.25,300,0.25,0.249,0.2497,,
2023-03-24,0.2501,0.2501,200,0.2501,0.2501,0.2501,1,0.2501,0.2501,200,0.2501,0.2501,0.2501,,
2023-03-27,0.2501,0.309,9105,0.309,0.2501,0.297,45,0.2501,0.309,9105,0.309,0.2501,0.297,,
2023-03-28,0.3302,0.2893,402594,0.3902,0.2793,0.3323,545,0.3302,0.2893,402594,0.3902,0.2793,0.3323,,
2023-03-29,0.3001,0.2701,21411,0.3102,0.2701,0.2817,17,0.3001,0.2701,21411,0.3102,0.2701,0.2817,,
2023-03-30,0.2901,0.2901,400,0.2901,0.2901,0.2901,1,0.2901,0.2901,400,0.2901,0.2901,0.2901,,
