Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,17.44,16.61,546363,17.58,16.57,16.8,8947,16.98,16.17,546363,17.12,16.13,16.36,,
2023-03-02,16.56,16.66,368443,16.8,16.38,16.61,5868,16.12,16.22,368443,16.36,15.95,16.17,,
2023-03-03,16.8,16.8,314568,16.97,16.56,16.75,5951,16.36,16.36,314568,16.52,16.12,16.31,,
2023-03-06,16.83,16.56,497381,16.98,16.5,16.67,9409,16.47,16.21,497381,16.62,16.15,16.32,0.09,
2023-03-07,16.56,16.22,268645,16.58,16.14,16.29,4963,16.21,15.88,268645,16.23,15.8,15.95,,
2023-03-08,16.25,16.78,435171,16.84,16.25,16.72,6949,15.91,16.42,435171,16.48,15.91,16.37,,
2023-03-09,16.71,16.28,401088,17,16.25,16.55,6196,16.36,15.94,401088,16.64,15.91,16.2,,
2023-03-10,16.39,15.89,382321,16.42,15.64,15.95,6366,16.04,15.55,382321,16.07,15.31,15.61,,
2023-03-13,15.55,15.33,588257,15.65,15.07,15.34,8906,15.22,15.01,588257,15.32,14.75,15.02,,
2023-03-14,15.78,15.53,456641,15.79,15.24,15.46,7079,15.45,15.2,456641,15.46,14.92,15.13,,
2023-03-15,15.16,15.35,572426,15.48,15.13,15.31,9203,14.84,15.02,572426,15.15,14.81,14.99,,
2023-03-16,15.22,15.6,337251,15.66,15.08,15.5,6315,14.9,15.27,337251,15.33,14.76,15.17,,
2023-03-17,15.55,15.38,1123532,15.55,15.27,15.41,8106,15.22,15.05,1123532,15.22,14.95,15.08,,
2023-03-20,15.55,15.49,311406,15.8,15.44,15.59,5682,15.22,15.16,311406,15.47,15.11,15.26,,
2023-03-21,15.76,15.97,688210,16.1,15.76,15.97,8701,15.43,15.63,688210,15.76,15.43,15.63,,
2023-03-22,15.88,14.82,526726,15.88,14.81,15.21,7720,15.54,14.51,526726,15.54,14.5,14.89,,
2023-03-23,14.99,15.66,694825,15.75,14.87,15.57,10517,14.67,15.33,694825,15.42,14.56,15.24,,
2023-03-24,15.31,15.79,489134,15.83,15.2,15.66,7450,14.99,15.46,489134,15.49,14.88,15.33,,
2023-03-27,15.92,15.69,332537,15.92,15.52,15.67,6001,15.58,15.36,332537,15.58,15.19,15.34,,
2023-03-28,15.42,15.54,330124,15.7,15.38,15.51,5552,15.09,15.21,330124,15.37,15.05,15.18,,
2023-03-29,15.62,15.66,405625,15.71,15.49,15.61,5871,15.29,15.33,405625,15.38,15.16,15.28,,
2023-03-30,15.75,15.58,342843,15.97,15.5,15.65,5519,15.42,15.25,342843,15.63,15.17,15.32,,
2023-03-31,15.64,15.87,474585,15.89,15.63,15.83,4873,15.31,15.53,474585,15.55,15.3,15.49,,
