Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,18.91,18.3,6614064,19.22,17.91,18.41,61255,18.91,18.3,6614064,19.22,17.91,18.41,,
2023-03-02,18.8,18.86,8601080,19.49,18.25,18.91,68184,18.8,18.86,8601080,19.49,18.25,18.91,,
2023-03-03,18.61,20.53,7566619,20.84,18.6,20.17,70569,18.61,20.53,7566619,20.84,18.6,20.17,,
2023-03-06,20.87,21.65,4524468,22.2,20.74,21.63,46007,20.87,21.65,4524468,22.2,20.74,21.63,,
2023-03-07,21.54,21.73,3276959,22.22,21.41,21.86,38959,21.54,21.73,3276959,22.22,21.41,21.86,,
2023-03-08,21.68,21.47,5749571,21.7,20.72,21.3,49492,21.68,21.47,5749571,21.7,20.72,21.3,,
2023-03-09,21.45,20.67,4062388,22.19,20.66,21.11,32806,21.45,20.67,4062388,22.19,20.66,21.11,,
2023-03-10,20.53,19.41,4971301,20.66,18.95,19.62,52018,20.53,19.41,4971301,20.66,18.95,19.62,,
2023-03-13,18.83,19.67,3555743,20.09,18.52,19.55,40785,18.83,19.67,3555743,20.09,18.52,19.55,,
2023-03-14,20.06,19.68,4889671,20.95,19.3,19.88,51684,20.06,19.68,4889671,20.95,19.3,19.88,,
2023-03-15,19,18.41,8024968,19.2,17.58,18.28,80573,19,18.41,8024968,19.2,17.58,18.28,,
2023-03-16,18.11,17.81,7963266,18.23,16.52,17.36,70673,18.11,17.81,7963266,18.23,16.52,17.36,,
2023-03-17,17.62,17.08,6286906,17.66,16.27,16.84,61665,17.62,17.08,6286906,17.66,16.27,16.84,,
2023-03-20,17.02,17.24,6343856,17.84,16.46,17.19,50902,17.02,17.24,6343856,17.84,16.46,17.19,,
2023-03-21,17.8,18.73,6614656,19.03,17.71,18.72,61197,17.8,18.73,6614656,19.03,17.71,18.72,,
2023-03-22,19.06,19.63,7974894,20.46,18.53,19.79,70659,19.06,19.63,7974894,20.46,18.53,19.79,,
2023-03-23,19.97,19.82,7275164,21.55,19.26,20.4,75270,19.97,19.82,7275164,21.55,19.26,20.4,,
2023-03-24,19.46,18.48,6156234,19.71,18.33,18.72,52301,19.46,18.48,6156234,19.71,18.33,18.72,,
2023-03-27,18.84,19.1,3780267,19.24,18.24,18.86,42219,18.84,19.1,3780267,19.24,18.24,18.86,,
2023-03-28,19.87,19.63,5050740,19.96,19.37,19.67,44602,19.87,19.63,5050740,19.96,19.37,19.67,,
2023-03-29,19.91,19.63,3616252,19.94,19.08,19.6,35357,19.91,19.63,3616252,19.94,19.08,19.6,,
2023-03-30,20.17,20.19,8724487,21.35,20.03,20.45,68019,20.17,20.19,8724487,21.35,20.03,20.45,,
2023-03-31,20.19,21.89,5926581,22,20.19,21.65,47487,20.19,21.89,5926581,22,20.19,21.65,,
