Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.448,0.448,628433,0.4497,0.4467,0.4478,357,0.448,0.448,628433,0.4497,0.4467,0.4478,,
2023-03-02,0.448,0.4472,230951,0.448,0.443,0.4456,198,0.448,0.4472,230951,0.448,0.443,0.4456,,
2023-03-03,0.4472,0.4453,281155,0.4472,0.443,0.4446,275,0.4472,0.4453,281155,0.4472,0.443,0.4446,,
2023-03-06,0.443,0.4445,197599,0.4453,0.443,0.4444,314,0.443,0.4445,197599,0.4453,0.443,0.4444,,
2023-03-07,0.4445,0.4445,302485,0.4445,0.443,0.444,313,0.4445,0.4445,302485,0.4445,0.443,0.444,,
2023-03-08,0.4445,0.4466,366601,0.4469,0.4442,0.4447,265,0.4445,0.4466,366601,0.4469,0.4442,0.4447,,
2023-03-09,0.4446,0.4442,303378,0.445,0.4433,0.4442,514,0.4446,0.4442,303378,0.445,0.4433,0.4442,,
2023-03-10,0.4444,0.4442,1291745,0.4465,0.3996,0.4278,1104,0.4444,0.4442,1291745,0.4465,0.3996,0.4278,,
2023-03-13,0.4402,0.4313,313953,0.4402,0.4302,0.4324,470,0.4402,0.4313,313953,0.4402,0.4302,0.4324,,
2023-03-14,0.4114,0.4462,963367,0.4462,0.4114,0.4348,838,0.4114,0.4462,963367,0.4462,0.4114,0.4348,,
2023-03-15,0.4052,0.3921,647779,0.432,0.3818,0.4036,883,0.4052,0.3921,647779,0.432,0.3818,0.4036,,
2023-03-16,0.3982,0.3302,993973,0.3982,0.3202,0.3433,897,0.3982,0.3302,993973,0.3982,0.3202,0.3433,,
2023-03-17,0.3302,0.3502,402618,0.3502,0.3302,0.3411,566,0.3302,0.3502,402618,0.3502,0.3302,0.3411,,
2023-03-20,0.3399,0.3502,947067,0.3702,0.3302,0.3474,1008,0.3399,0.3502,947067,0.3702,0.3302,0.3474,,
2023-03-21,0.3602,0.3713,960298,0.379,0.3602,0.3663,987,0.3602,0.3713,960298,0.379,0.3602,0.3663,,
2023-03-22,0.3802,0.3803,1252319,0.409,0.3802,0.3919,872,0.3802,0.3803,1252319,0.409,0.3802,0.3919,,
2023-03-23,0.3903,0.3852,528762,0.4102,0.3812,0.399,667,0.3903,0.3852,528762,0.4102,0.3812,0.399,,
2023-03-24,0.3852,0.3902,529323,0.4002,0.3802,0.3865,738,0.3852,0.3902,529323,0.4002,0.3802,0.3865,,
2023-03-27,0.3802,0.3502,1198921,0.3982,0.3334,0.3741,900,0.3802,0.3502,1198921,0.3982,0.3334,0.3741,,
2023-03-28,0.3673,0.3911,1329691,0.3989,0.3542,0.3721,1122,0.3673,0.3911,1329691,0.3989,0.3542,0.3721,,
2023-03-29,0.3923,0.4303,1621844,0.4303,0.389,0.4109,1432,0.3923,0.4303,1621844,0.4303,0.389,0.4109,,
2023-03-30,0.4387,0.4423,1632388,0.4445,0.4102,0.4356,1508,0.4387,0.4423,1632388,0.4445,0.4102,0.4356,,
2023-03-31,0.4402,0.4424,535158,0.4444,0.4302,0.441,1187,0.4402,0.4424,535158,0.4444,0.4302,0.441,,
