Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,7.86,8.28,18852,8.57,7.86,8.341,314,7.86,8.28,18852,8.57,7.86,8.341,,
2023-03-02,8.126,8.03,14806,8.13,7.65,7.883,169,8.126,8.03,14806,8.13,7.65,7.883,,
2023-03-03,8.4,8.65,26959,8.69,8.03,8.51,429,8.4,8.65,26959,8.69,8.03,8.51,,
2023-03-06,8.75,8.49,15936,8.75,8.4,8.532,198,8.75,8.49,15936,8.75,8.4,8.532,,
2023-03-07,8.183,9.16,13452,9.16,8.18,8.751,321,8.183,9.16,13452,9.16,8.18,8.751,,
2023-03-08,8.929,9.424,11322,9.424,8.699,9.089,541,8.929,9.424,11322,9.424,8.699,9.089,,
2023-03-09,9.159,8.079,33441,9.188,8.019,8.789,448,9.159,8.079,33441,9.188,8.019,8.789,,
2023-03-10,8.554,8.114,43614,8.814,7.704,8.305,439,8.554,8.114,43614,8.814,7.704,8.305,,
2023-03-13,7.944,8.494,10860,8.494,7.914,8.171,156,7.944,8.494,10860,8.494,7.914,8.171,,
2023-03-14,8.842,8.804,14416,9.105,8.414,8.725,207,8.842,8.804,14416,9.105,8.414,8.725,,
2023-03-15,8.224,7.974,14948,8.404,7.974,8.232,184,8.224,7.974,14948,8.404,7.974,8.232,,
2023-03-16,8.074,8.294,6016,8.314,7.704,8.043,116,8.074,8.294,6016,8.314,7.704,8.043,,
2023-03-17,8.234,7.974,19615,8.364,7.864,8.047,172,8.234,7.974,19615,8.364,7.864,8.047,,
2023-03-20,7.974,7.804,6466,8.129,7.704,7.905,75,7.974,7.804,6466,8.129,7.704,7.905,,
2023-03-21,8.014,8.784,33072,9.005,8.014,8.607,273,8.014,8.784,33072,9.005,8.014,8.607,,
2023-03-22,9.015,8.594,34361,9.11,8.404,8.93,393,9.015,8.594,34361,9.11,8.404,8.93,,
2023-03-23,8.254,9.945,101746,9.955,8.244,9.372,752,8.254,9.945,101746,9.955,8.244,9.372,,
2023-03-24,10.11,8.564,40646,10.11,8.554,9.16,575,10.11,8.564,40646,10.11,8.554,9.16,,
2023-03-27,8.554,7.764,31507,8.554,7.464,8.016,304,8.554,7.764,31507,8.554,7.464,8.016,,
2023-03-28,7.408,8.149,18660,8.354,7.408,7.928,247,7.408,8.149,18660,8.354,7.408,7.928,,
2023-03-29,8.354,8.394,10596,8.804,8.354,8.527,163,8.354,8.394,10596,8.804,8.354,8.527,,
2023-03-30,8.403,8.448,5296,8.503,8.163,8.428,129,8.403,8.448,5296,8.503,8.163,8.428,,
2023-03-31,8.333,8.233,17718,8.693,7.933,8.285,183,8.333,8.233,17718,8.693,7.933,8.285,,
