Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.49,10.39,2064708,10.58,10.34,10.44,16129,9.882,9.788,2064708,9.967,9.741,9.835,,
2023-03-02,10.32,10.27,1526230,10.36,10.13,10.25,11042,9.722,9.675,1526230,9.76,9.543,9.656,,
2023-03-03,10.45,10.47,1916977,10.54,10.4,10.47,13246,9.845,9.864,1916977,9.929,9.798,9.864,,
2023-03-06,10.21,10.1,2175305,10.27,10.07,10.14,14966,9.619,9.515,2175305,9.675,9.487,9.553,,
2023-03-07,10.08,10.02,1338189,10.11,9.935,10.03,9408,9.496,9.44,1338189,9.524,9.36,9.449,,
2023-03-08,10.1,10.13,1752586,10.19,10.01,10.12,8644,9.515,9.543,1752586,9.6,9.43,9.534,,
2023-03-09,10.09,9.629,2189880,10.12,9.619,9.767,12757,9.506,9.071,2189880,9.534,9.062,9.201,,
2023-03-10,9.835,9.635,1951022,9.945,9.555,9.738,14062,9.265,9.077,1951022,9.369,9.002,9.174,,
2023-03-13,9.525,9.495,2626670,9.705,9.375,9.563,16429,8.973,8.945,2626670,9.143,8.832,9.009,,
2023-03-14,9.945,10.03,2570438,10.25,9.915,10.06,18430,9.369,9.449,2570438,9.656,9.341,9.477,,
2023-03-15,9.455,9.495,2950376,9.605,9.325,9.484,19997,8.907,8.945,2950376,9.049,8.785,8.935,,
2023-03-16,9.365,9.585,1471615,9.615,9.28,9.477,11843,8.823,9.03,1471615,9.058,8.742,8.928,,
2023-03-17,9.525,9.245,2619856,9.585,9.19,9.297,15112,8.973,8.709,2619856,9.03,8.658,8.758,,
2023-03-20,9.245,9.185,1651945,9.365,9.11,9.22,13852,8.709,8.653,1651945,8.823,8.582,8.686,,
2023-03-21,9.395,9.385,1261634,9.555,9.355,9.419,10383,8.851,8.841,1261634,9.002,8.813,8.873,,
2023-03-22,9.325,9.225,1636804,9.505,9.225,9.317,10446,8.785,8.691,1636804,8.954,8.691,8.777,,
2023-03-23,9.515,9.405,1519381,9.665,9.365,9.501,13482,8.964,8.86,1519381,9.105,8.823,8.951,,
2023-03-24,9.365,9.505,1319689,9.53,9.314,9.442,12787,8.823,8.954,1319689,8.978,8.774,8.895,,
2023-03-27,9.485,9.365,1106728,9.495,9.165,9.332,10000,8.936,8.823,1106728,8.945,8.634,8.791,,
2023-03-28,9.315,9.255,701082,9.395,9.215,9.286,7190,8.775,8.719,701082,8.851,8.681,8.748,,
2023-03-29,9.445,9.445,1095324,9.525,9.395,9.441,10721,8.898,8.898,1095324,8.973,8.851,8.894,,
2023-03-30,9.504,9.324,942588,9.514,9.279,9.361,8079,8.953,8.784,942588,8.963,8.742,8.819,,
2023-03-31,9.354,9.524,1247354,9.544,9.344,9.471,8887,8.812,8.972,1247354,8.991,8.803,8.922,,
