Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.48,2.47,295844,2.65,2.33,2.497,1540,2.48,2.47,295844,2.65,2.33,2.497,,
2023-03-02,2.53,2.6,165444,2.77,2.36,2.574,825,2.53,2.6,165444,2.77,2.36,2.574,,
2023-03-03,2.54,2.7,93954,2.77,2.54,2.691,622,2.54,2.7,93954,2.77,2.54,2.691,,
2023-03-06,2.64,2.63,69947,2.7,2.57,2.616,586,2.64,2.63,69947,2.7,2.57,2.616,,
2023-03-07,2.51,2.59,21780,2.6,2.5,2.572,281,2.51,2.59,21780,2.6,2.5,2.572,,
2023-03-08,2.5,2.74,22008,2.74,2.5,2.612,247,2.5,2.74,22008,2.74,2.5,2.612,,
2023-03-09,2.73,2.73,21015,2.85,2.66,2.764,204,2.73,2.73,21015,2.85,2.66,2.764,,
2023-03-10,2.651,2.601,11463,2.672,2.571,2.615,134,2.651,2.601,11463,2.672,2.571,2.615,,
2023-03-13,2.531,2.501,36421,2.591,2.381,2.478,484,2.531,2.501,36421,2.591,2.381,2.478,,
2023-03-14,2.426,2.501,12947,2.691,2.426,2.501,185,2.426,2.501,12947,2.691,2.426,2.501,,
2023-03-15,2.411,2.311,40781,2.441,2.261,2.33,515,2.411,2.311,40781,2.441,2.261,2.33,,
2023-03-16,2.331,2.311,20268,2.331,2.151,2.242,262,2.331,2.311,20268,2.331,2.151,2.242,,
2023-03-17,2.391,2.171,21733,2.481,2.161,2.245,300,2.391,2.171,21733,2.481,2.161,2.245,,
2023-03-20,2.131,2.121,53627,2.141,1.931,2.04,530,2.131,2.121,53627,2.141,1.931,2.04,,
2023-03-21,2.061,2.421,18910,2.593,2.061,2.412,240,2.061,2.421,18910,2.593,2.061,2.412,,
2023-03-22,2.361,2.601,26956,2.733,2.361,2.591,218,2.361,2.601,26956,2.733,2.361,2.591,,
2023-03-23,2.601,2.751,10155,2.785,2.601,2.723,164,2.601,2.751,10155,2.785,2.601,2.723,,
2023-03-24,2.701,2.821,6236,2.821,2.631,2.725,139,2.701,2.821,6236,2.821,2.631,2.725,,
2023-03-27,2.741,2.991,22461,3.075,2.741,2.906,230,2.741,2.991,22461,3.075,2.741,2.906,,
2023-03-28,2.972,3.282,43566,3.362,2.971,3.235,397,2.972,3.282,43566,3.362,2.971,3.235,,
2023-03-29,3.282,3.392,21977,3.412,3.072,3.283,252,3.282,3.392,21977,3.412,3.072,3.283,,
2023-03-30,3.451,4.264,69077,4.264,3.311,3.771,597,3.451,4.264,69077,4.264,3.311,3.771,,
2023-03-31,4.462,4.442,398808,4.772,3.001,3.835,2164,4.462,4.442,398808,4.772,3.001,3.835,,
