Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,12.57,12.57,1517,12.63,12.51,12.57,22,12.25,12.25,1517,12.31,12.19,12.25,,
2023-03-02,12.64,12.58,1409,12.65,12.58,12.64,24,12.32,12.26,1409,12.33,12.26,12.32,,
2023-03-03,12.61,12.57,591,12.61,12.57,12.58,23,12.29,12.25,591,12.29,12.25,12.26,,
2023-03-06,12.64,12.57,636,12.64,12.57,12.61,28,12.32,12.25,636,12.32,12.25,12.29,,
2023-03-07,12.65,12.51,1270,12.65,12.51,12.65,111,12.33,12.19,1270,12.33,12.19,12.33,,
2023-03-08,12.5,12.59,1820,12.59,12.37,12.49,48,12.18,12.27,1820,12.27,12.06,12.17,,
2023-03-09,12.6,12.14,7571,12.6,12.14,12.41,56,12.28,11.83,7571,12.28,11.83,12.09,,
2023-03-10,12.59,11.75,24330,12.59,11.56,11.92,224,12.27,11.45,24330,12.27,11.27,11.62,,
2023-03-13,10.41,11,12013,11.43,10.41,10.88,101,10.14,10.72,12013,11.14,10.14,10.6,,
2023-03-14,10.88,11.16,8558,11.62,10.88,11.35,149,10.6,10.88,8558,11.32,10.6,11.06,,
2023-03-15,11.46,11.01,2772,11.46,11.01,11.19,25,11.17,10.73,2772,11.17,10.73,10.91,,
2023-03-16,11.21,11.4,1673,11.45,11.21,11.33,63,10.92,11.11,1673,11.16,10.92,11.04,,
2023-03-17,11.31,11.12,9733,11.31,11.12,11.15,52,11.02,10.84,9733,11.02,10.84,10.87,,
2023-03-20,11.28,11.13,3707,11.28,11.12,11.15,80,10.99,10.85,3707,10.99,10.84,10.87,,
2023-03-21,11.27,11.04,4174,11.27,11.02,11.14,102,10.98,10.76,4174,10.98,10.74,10.86,,
2023-03-22,11.12,11.07,1819,11.12,11.06,11.06,36,10.84,10.79,1819,10.84,10.78,10.78,,
2023-03-23,11.02,11.01,5014,11.05,10.98,11.01,110,10.74,10.73,5014,10.77,10.7,10.73,,
2023-03-24,10.99,10.54,5951,10.99,10.41,10.59,63,10.71,10.27,5951,10.71,10.14,10.32,,
2023-03-27,10.62,10.62,5843,10.73,10.62,10.64,106,10.35,10.35,5843,10.46,10.35,10.37,,
2023-03-28,10.7,10.62,5191,10.71,10.62,10.68,100,10.43,10.35,5191,10.44,10.35,10.41,,
2023-03-29,10.62,10.66,3795,10.66,10.62,10.63,49,10.35,10.39,3795,10.39,10.35,10.36,,
2023-03-30,10.7,10.65,3019,10.74,10.65,10.66,48,10.43,10.38,3019,10.47,10.38,10.39,,
2023-03-31,10.74,10.6,1878,10.74,10.6,10.63,19,10.47,10.33,1878,10.47,10.33,10.36,,
