Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,6.04,6.02,85639,6.26,5.82,5.973,680,6.04,6.02,85639,6.26,5.82,5.973,,
2023-03-02,5.95,5.8,75026,5.96,5.74,5.857,338,5.95,5.8,75026,5.96,5.74,5.857,,
2023-03-03,5.73,6.06,55994,6.11,5.73,5.983,397,5.73,6.06,55994,6.11,5.73,5.983,,
2023-03-06,6.03,5.81,54479,6.15,5.8,5.989,388,6.03,5.81,54479,6.15,5.8,5.989,,
2023-03-07,5.81,5.98,44916,5.98,5.61,5.811,359,5.81,5.98,44916,5.98,5.61,5.811,,
2023-03-08,6.119,6.109,42454,6.119,6.01,6.072,332,6.119,6.109,42454,6.119,6.01,6.072,,
2023-03-09,6.149,5.949,72269,6.163,5.814,5.972,446,6.149,5.949,72269,6.163,5.814,5.972,,
2023-03-10,5.853,5.703,61883,5.903,5.583,5.723,480,5.853,5.703,61883,5.903,5.583,5.723,,
2023-03-13,5.463,5.553,56625,5.683,5.423,5.534,428,5.463,5.553,56625,5.683,5.423,5.534,,
2023-03-14,5.583,5.703,39285,5.792,5.473,5.664,302,5.583,5.703,39285,5.792,5.473,5.664,,
2023-03-15,5.603,5.273,133533,5.603,5.083,5.344,791,5.603,5.273,133533,5.603,5.083,5.344,,
2023-03-16,5.673,4.982,123009,5.673,4.912,5.048,999,5.673,4.982,123009,5.673,4.912,5.048,,
2023-03-17,5.113,4.872,87108,5.113,4.762,4.879,616,5.113,4.872,87108,5.113,4.762,4.879,,
2023-03-20,4.882,4.862,28923,4.947,4.802,4.886,225,4.882,4.862,28923,4.947,4.802,4.886,,
2023-03-21,4.822,5.243,143652,5.342,4.822,5.131,679,4.822,5.243,143652,5.342,4.822,5.131,,
2023-03-22,5.263,5.213,58203,5.403,5.123,5.253,606,5.263,5.213,58203,5.403,5.123,5.253,,
2023-03-23,5.213,4.892,78470,5.228,4.832,5.032,402,5.213,4.892,78470,5.228,4.832,5.032,,
2023-03-24,4.812,4.872,42212,5.053,4.802,4.893,310,4.812,4.872,42212,5.053,4.802,4.893,,
2023-03-27,4.922,5.103,28480,5.103,4.902,4.974,259,4.922,5.103,28480,5.103,4.902,4.974,,
2023-03-28,5.103,5.023,31838,5.133,4.982,5.076,345,5.103,5.023,31838,5.133,4.982,5.076,,
2023-03-29,5.073,4.892,33145,5.078,4.872,4.948,298,5.073,4.892,33145,5.078,4.872,4.948,,
2023-03-30,4.942,4.852,28247,4.942,4.812,4.858,290,4.942,4.852,28247,4.942,4.812,4.858,,
2023-03-31,4.932,4.912,34639,4.942,4.802,4.881,316,4.932,4.912,34639,4.942,4.802,4.881,,
