Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,6.87,6.78,299717,7.08,6.74,6.889,2221,6.669,6.582,299717,6.873,6.543,6.687,,
2023-03-02,6.7,6.73,201303,6.8,6.595,6.703,1411,6.504,6.533,201303,6.601,6.402,6.507,,
2023-03-03,6.75,6.79,240620,6.92,6.56,6.753,1894,6.553,6.591,240620,6.718,6.368,6.555,,
2023-03-06,6.835,6.62,236511,6.9,6.605,6.796,1875,6.635,6.426,236511,6.698,6.412,6.597,,
2023-03-07,6.61,6.55,180240,6.7,6.47,6.571,1346,6.417,6.358,180240,6.504,6.281,6.379,,
2023-03-08,6.619,6.639,299470,6.862,6.579,6.698,2139,6.425,6.445,299470,6.661,6.387,6.502,,
2023-03-09,6.699,6.399,275490,6.709,6.329,6.454,1895,6.503,6.212,275490,6.513,6.144,6.265,,
2023-03-10,6.543,6.313,184821,6.583,6.278,6.444,1522,6.352,6.128,184821,6.39,6.094,6.256,,
2023-03-13,6.203,6.133,270711,6.283,5.963,6.158,1997,6.022,5.954,270711,6.099,5.789,5.978,,
2023-03-14,5.803,5.843,980523,6.138,5.313,5.8,4243,5.633,5.672,980523,5.958,5.158,5.63,,
2023-03-15,5.563,5.553,331149,5.663,5.394,5.515,2563,5.4,5.391,331149,5.497,5.236,5.354,,
2023-03-16,5.503,5.623,557218,5.638,5.143,5.413,3456,5.342,5.459,557218,5.473,4.993,5.255,,
2023-03-17,5.623,5.473,353131,5.668,5.358,5.53,2357,5.459,5.313,353131,5.502,5.201,5.368,,
2023-03-20,5.523,5.583,252287,5.643,5.493,5.572,2002,5.361,5.42,252287,5.478,5.332,5.409,,
2023-03-21,5.583,5.483,157000,5.743,5.473,5.595,1402,5.42,5.323,157000,5.575,5.313,5.431,,
2023-03-22,5.473,5.323,266418,5.473,5.243,5.348,1933,5.313,5.167,266418,5.313,5.09,5.192,,
2023-03-23,5.343,5.443,153159,5.593,5.343,5.503,1615,5.187,5.284,153159,5.429,5.187,5.342,,
2023-03-24,5.403,5.553,78664,5.568,5.393,5.464,894,5.245,5.391,78664,5.405,5.235,5.304,,
2023-03-27,5.553,5.223,337401,5.553,5.143,5.262,2680,5.391,5.07,337401,5.391,4.993,5.108,,
2023-03-28,5.193,5.373,182879,5.493,5.166,5.337,1574,5.041,5.216,182879,5.332,5.015,5.181,,
2023-03-29,5.373,5.173,315169,5.403,5.153,5.229,3241,5.216,5.022,315169,5.245,5.002,5.076,,
2023-03-30,5.152,5.022,207976,5.175,4.992,5.068,1923,5.026,4.899,207976,5.048,4.87,4.944,0.025,
2023-03-31,4.982,5.062,180958,5.132,4.982,5.068,1279,4.86,4.938,180958,5.006,4.86,4.944,,
