Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,76.99,77.06,6479,77.7,76.99,77.33,337,66.66,66.72,6479,67.27,66.66,66.95,,
2023-03-02,76.29,77,13394,77.09,76.06,76.66,381,66.05,66.67,13394,66.75,65.85,66.37,,
2023-03-03,77.71,78.44,11642,78.44,76.76,77.66,378,67.28,67.92,11642,67.92,66.46,67.24,,
2023-03-06,77.71,77.21,27634,77.88,77.11,77.59,520,67.28,66.85,27634,67.43,66.76,67.18,,
2023-03-07,75.9,73.84,34406,76,73.77,74.57,1208,65.72,63.93,34406,65.8,63.87,64.56,,
2023-03-08,73.86,73.58,8502,74.5,73.58,73.91,386,63.95,63.71,8502,64.5,63.71,63.99,,
2023-03-09,73.62,73.66,7605,74.53,73.6,74.07,310,63.74,63.78,7605,64.53,63.72,64.13,,
2023-03-10,74.54,75.21,20039,76.02,74.54,75.45,433,64.54,65.12,20039,65.82,64.54,65.33,,
2023-03-13,78.42,78.44,25267,78.67,77.41,78.13,497,67.9,67.92,25267,68.11,67.02,67.65,,
2023-03-14,78.2,78.31,30408,79.09,78.2,78.76,497,67.71,67.8,30408,68.48,67.71,68.19,,
2023-03-15,77.7,77.95,86601,79.62,77.7,78.27,1109,67.27,67.49,86601,68.94,67.27,67.77,,
2023-03-16,78.37,78.34,23904,78.67,77.85,78.25,354,67.85,67.83,23904,68.11,67.4,67.75,,
2023-03-17,78.81,79.43,15841,79.77,78.75,79.29,345,68.24,68.77,15841,69.07,68.18,68.65,,
2023-03-20,79.06,79.8,36593,79.98,79.06,79.43,653,68.45,69.09,36593,69.25,68.45,68.77,,
2023-03-21,78.9,78.99,15187,79.22,78.58,78.94,321,69,69.08,15187,69.28,68.72,69.03,0.792,
2023-03-22,78.98,79.91,87118,80.01,78.96,79.58,704,69.07,69.88,87118,69.97,69.05,69.59,,
2023-03-23,79.93,80.34,24268,80.39,79.93,80.19,278,69.9,70.26,24268,70.3,69.9,70.13,,
2023-03-24,80.29,80.37,7924,80.54,80.24,80.37,219,70.21,70.28,7924,70.43,70.17,70.28,,
2023-03-27,79.96,80.32,13034,80.4,79.96,80.23,349,69.93,70.24,13034,70.31,69.93,70.16,,
2023-03-28,80.29,80.77,12426,80.77,80.29,80.62,300,70.21,70.63,12426,70.63,70.21,70.5,,
2023-03-29,80.77,80.97,9897,81.06,80.77,80.87,278,70.63,70.81,9897,70.89,70.63,70.72,,
2023-03-30,80.85,81.25,9006,81.43,80.85,81.27,232,70.7,71.05,9006,71.21,70.7,71.07,,
2023-03-31,81.39,81.34,9689,81.47,81.34,81.4,191,71.18,71.13,9689,71.25,71.13,71.18,,
