Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.81,1.82,1579652,1.86,1.72,1.784,9101,1.81,1.82,1579652,1.86,1.72,1.784,,
2023-03-02,1.8,1.95,4302435,2.15,1.78,2.017,14306,1.8,1.95,4302435,2.15,1.78,2.017,,
2023-03-03,1.9,1.54,5020378,1.905,1.5,1.617,15467,1.9,1.54,5020378,1.905,1.5,1.617,,
2023-03-06,1.51,1.39,4264726,1.63,1.345,1.457,14408,1.51,1.39,4264726,1.63,1.345,1.457,,
2023-03-07,1.35,1.38,6693213,1.44,1.25,1.352,21160,1.35,1.38,6693213,1.44,1.25,1.352,,
2023-03-08,1.32,1.52,7900272,1.54,1.27,1.505,19476,1.32,1.52,7900272,1.54,1.27,1.505,,
2023-03-09,1.57,1.42,7307322,1.68,1.4,1.512,22115,1.57,1.42,7307322,1.68,1.4,1.512,,
2023-03-10,1.421,1.491,2654903,1.501,1.341,1.42,10419,1.421,1.491,2654903,1.501,1.341,1.42,,
2023-03-13,1.491,1.531,2696574,1.561,1.451,1.51,8455,1.491,1.531,2696574,1.561,1.451,1.51,,
2023-03-14,1.611,1.741,4120077,1.761,1.561,1.699,12304,1.611,1.741,4120077,1.761,1.561,1.699,,
2023-03-15,1.721,1.641,2491964,1.731,1.571,1.64,6593,1.721,1.641,2491964,1.731,1.571,1.64,,
2023-03-16,1.701,1.831,3643968,1.871,1.651,1.791,11234,1.701,1.831,3643968,1.871,1.651,1.791,,
2023-03-17,1.891,1.671,4766653,1.901,1.641,1.729,9184,1.891,1.671,4766653,1.901,1.641,1.729,,
2023-03-20,1.681,1.631,1594624,1.711,1.591,1.633,5422,1.681,1.631,1594624,1.711,1.591,1.633,,
2023-03-21,1.621,1.651,2307263,1.786,1.601,1.701,8331,1.621,1.651,2307263,1.786,1.601,1.701,,
2023-03-22,1.651,1.671,2530852,1.801,1.641,1.725,8279,1.651,1.671,2530852,1.801,1.641,1.725,,
2023-03-23,1.701,1.701,1382306,1.761,1.671,1.711,5153,1.701,1.701,1382306,1.761,1.671,1.711,,
2023-03-24,1.691,1.761,955871,1.788,1.686,1.754,4228,1.691,1.761,955871,1.788,1.686,1.754,,
2023-03-27,1.791,1.721,1242107,1.851,1.721,1.773,4329,1.791,1.721,1242107,1.851,1.721,1.773,,
2023-03-28,1.711,1.751,764456,1.771,1.696,1.736,3917,1.711,1.751,764456,1.771,1.696,1.736,,
2023-03-29,1.781,1.771,1001789,1.871,1.751,1.795,3967,1.781,1.771,1001789,1.871,1.751,1.795,,
2023-03-30,1.751,1.631,2227605,1.821,1.591,1.679,7147,1.751,1.631,2227605,1.821,1.591,1.679,,
2023-03-31,1.631,1.751,1788675,1.751,1.611,1.707,4439,1.631,1.751,1788675,1.751,1.611,1.707,,
