Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,32.66,32.07,1453766,32.9,32,32.13,5723,31.4,30.84,1453766,31.63,30.77,30.89,,
2023-03-02,31.78,32.54,1423490,33.03,31.78,32.54,5396,30.56,31.29,1423490,31.76,30.56,31.29,,
2023-03-03,32.4,32.38,571805,32.88,32.23,32.44,5479,31.15,31.13,571805,31.61,30.99,31.19,,
2023-03-06,32.51,31.65,678759,32.51,31.35,31.65,6131,31.26,30.43,678759,31.26,30.14,30.43,,
2023-03-07,31.54,30.06,978489,31.58,30.06,30.25,9167,30.33,28.9,978489,30.36,28.9,29.09,,
2023-03-08,30.11,30.48,582012,30.72,29.8,30.45,6395,28.95,29.31,582012,29.54,28.65,29.28,,
2023-03-09,30.02,28.69,1120736,30.13,28.54,28.96,13611,28.86,27.59,1120736,28.97,27.44,27.85,,
2023-03-10,28.71,28.45,594302,29.23,27.73,28.61,8903,27.6,27.35,594302,28.1,26.66,27.51,,
2023-03-13,28.26,27.63,824680,28.51,27.51,27.91,11248,27.17,26.57,824680,27.41,26.45,26.84,,
2023-03-14,27.66,27.48,427448,28.14,27.07,27.48,6670,26.6,26.42,427448,27.06,26.03,26.42,,
2023-03-15,27.08,27.08,648253,27.34,26.47,26.9,7859,26.04,26.04,648253,26.29,25.45,25.86,,
2023-03-16,27.68,28.01,722566,28.47,26.13,27.61,10663,26.61,26.93,722566,27.37,25.12,26.55,,
2023-03-17,28.03,28.84,1687429,29.01,27.66,28.71,15262,26.95,27.73,1687429,27.89,26.6,27.6,,
2023-03-20,28.49,29.16,515399,29.87,28.12,29.16,8108,27.39,28.04,515399,28.72,27.04,28.04,,
2023-03-21,29.15,28.6,388093,29.38,28.43,28.69,6420,28.03,27.5,388093,28.25,27.34,27.59,,
2023-03-22,28.78,29.55,895983,30.19,28.58,29.74,13507,27.67,28.41,895983,29.03,27.48,28.6,,
2023-03-23,30.1,30.15,611986,30.87,29.78,30.2,9808,28.94,28.99,611986,29.68,28.63,29.04,,
2023-03-24,30.12,29.97,405965,30.59,29.67,30.01,8238,28.96,28.82,405965,29.41,28.53,28.85,,
2023-03-27,29.76,30.07,414691,30.14,29.4,29.88,6702,28.61,28.91,414691,28.98,28.27,28.73,,
2023-03-28,30.32,30.27,296475,30.77,30.09,30.31,5689,29.15,29.1,296475,29.59,28.93,29.14,,
2023-03-29,29.96,30.46,480756,30.71,29.68,30.47,7021,28.81,29.29,480756,29.53,28.54,29.3,,
2023-03-30,30.78,31.78,790598,31.78,30.46,31.45,9338,29.6,30.56,790598,30.56,29.29,30.24,,
2023-03-31,31.65,31.19,493486,31.89,30.88,31.19,7341,30.43,29.99,493486,30.66,29.69,29.99,,
