Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.68,10.68,1051,10.68,10.68,10.68,7,10.68,10.68,1051,10.68,10.68,10.68,,
2023-03-09,10.12,10.12,100,10.12,10.12,10.12,1,10.12,10.12,100,10.12,10.12,10.12,,
2023-03-10,10.13,10.13,100,10.13,10.13,10.13,1,10.13,10.13,100,10.13,10.13,10.13,,
2023-03-21,10.25,10.25,100,10.25,10.25,10.25,1,10.25,10.25,100,10.25,10.25,10.25,,
2023-03-22,10.25,10.24,2201,10.3,10.24,10.26,12,10.25,10.24,2201,10.3,10.24,10.26,,
2023-03-23,10.27,10.27,400,10.27,10.27,10.27,3,10.27,10.27,400,10.27,10.27,10.27,,
2023-03-27,10.26,10.23,1501,10.26,10.23,10.24,7,10.26,10.23,1501,10.26,10.23,10.24,,
2023-03-28,10.72,10.29,2901,10.72,10.24,10.35,16,10.72,10.29,2901,10.72,10.24,10.35,,
2023-03-29,10.24,10.24,1801,10.29,10.24,10.25,3,10.24,10.24,1801,10.29,10.24,10.25,,
2023-03-30,10.22,10.22,500,10.22,10.22,10.22,1,10.22,10.22,500,10.22,10.22,10.22,,
