Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.24,10.28,2528,10.32,10.24,10.27,15,10.24,10.28,2528,10.32,10.24,10.27,,
2023-03-06,10.29,10.29,101,10.29,10.29,10.29,2,10.29,10.29,101,10.29,10.29,10.29,,
2023-03-07,10.35,10.29,3000,10.35,10.29,10.3,19,10.35,10.29,3000,10.35,10.29,10.3,,
2023-03-10,10.26,10.31,600,10.31,10.26,10.28,3,10.26,10.31,600,10.31,10.26,10.28,,
2023-03-13,10.31,10.32,5275,10.32,10.31,10.32,14,10.31,10.32,5275,10.32,10.31,10.32,,
2023-03-17,10.32,10.32,3002,10.32,10.32,10.32,4,10.32,10.32,3002,10.32,10.32,10.32,,
2023-03-21,10.33,10.32,42311,10.36,10.32,10.33,119,10.33,10.32,42311,10.36,10.32,10.33,,
2023-03-22,10.32,10.31,7204,10.32,10.3,10.32,13,10.32,10.31,7204,10.32,10.3,10.32,,
2023-03-23,10.31,10.31,197820,10.31,10.31,10.31,24,10.31,10.31,197820,10.31,10.31,10.31,,
2023-03-27,10.3,10.3,9865,10.3,10.3,10.3,14,10.3,10.3,9865,10.3,10.3,10.3,,
2023-03-28,10.03,10.21,57368,10.32,9.285,10.17,126,10.03,10.21,57368,10.32,9.285,10.17,,
2023-03-29,10.21,10.28,24735,10.31,9.285,10.26,67,10.21,10.28,24735,10.31,9.285,10.26,,
2023-03-30,10.34,10.29,25674,10.34,9.414,10.24,60,10.34,10.29,25674,10.34,9.414,10.24,,
2023-03-31,10.3,10.34,1967,10.34,10.3,10.33,18,10.3,10.34,1967,10.34,10.3,10.33,,
