Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.48,10.5,900,10.5,10.48,10.5,12,10.48,10.5,900,10.5,10.48,10.5,,
2023-03-02,10.29,10.46,1000,10.46,10.29,10.39,15,10.29,10.46,1000,10.46,10.29,10.39,,
2023-03-03,10.5,10.45,500,10.5,10.45,10.47,5,10.5,10.45,500,10.5,10.45,10.47,,
2023-03-06,10.45,10.47,1800,10.47,10.45,10.46,11,10.45,10.47,1800,10.47,10.45,10.46,,
2023-03-07,10.47,10.47,170,10.47,10.47,10.47,1,10.47,10.47,170,10.47,10.47,10.47,,
2023-03-08,10.47,10.58,300,10.99,10.47,10.68,3,10.47,10.58,300,10.99,10.47,10.68,,
2023-03-10,10.53,10.53,150,10.53,10.53,10.48,2,10.53,10.53,150,10.53,10.53,10.48,,
2023-03-21,10.48,10.48,100,10.48,10.48,10.48,1,10.48,10.48,100,10.48,10.48,10.48,,
2023-03-22,10.55,10.51,200,10.55,10.51,10.53,2,10.55,10.51,200,10.55,10.51,10.53,,
2023-03-29,10.49,10.5,1711,10.84,10.49,10.59,22,10.49,10.5,1711,10.84,10.49,10.59,,
2023-03-30,10.5,10.51,8208,10.54,10.48,10.52,59,10.5,10.51,8208,10.54,10.48,10.52,,
