Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,10.12,10.12,2486,10.12,10.12,10.12,10,10.12,10.12,2486,10.12,10.12,10.12,,
2023-03-06,10.12,10.12,500,10.12,10.12,10.12,1,10.12,10.12,500,10.12,10.12,10.12,,
2023-03-08,10.13,10.15,1326,10.15,10.13,10.14,3,10.13,10.15,1326,10.15,10.13,10.14,,
2023-03-10,10.14,10.14,100,10.14,10.14,10.14,1,10.14,10.14,100,10.14,10.14,10.14,,
2023-03-13,10.14,10.14,901,10.17,10.14,10.16,4,10.14,10.14,901,10.17,10.14,10.16,,
2023-03-14,10.14,10.14,351,10.14,10.14,10.14,6,10.14,10.14,351,10.14,10.14,10.14,,
2023-03-16,10.15,10.15,500,10.15,10.15,10.15,6,10.15,10.15,500,10.15,10.15,10.15,,
2023-03-17,10.15,10.15,300,10.15,10.15,10.15,1,10.15,10.15,300,10.15,10.15,10.15,,
2023-03-22,10.18,10.18,596,10.18,10.18,10.18,4,10.18,10.18,596,10.18,10.18,10.18,,
2023-03-24,10.15,10.41,250,10.41,10.15,10.28,2,10.15,10.41,250,10.41,10.15,10.28,,
2023-03-27,10.2,10.19,710,10.21,10.19,10.26,14,10.2,10.19,710,10.21,10.19,10.26,,
2023-03-28,10.17,10.19,940,10.2,10.17,10.19,11,10.17,10.19,940,10.2,10.17,10.19,,
2023-03-29,10.07,10.07,103,10.07,10.07,10.06,2,10.07,10.07,103,10.07,10.07,10.06,,
2023-03-30,10.16,10.16,1757,10.16,10.16,10.16,7,10.16,10.16,1757,10.16,10.16,10.16,,
2023-03-31,10.16,10.16,150,10.16,10.16,10.17,2,10.16,10.16,150,10.16,10.16,10.17,,
