Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.89,0.9,15571,0.905,0.88,0.8947,55,0.89,0.9,15571,0.905,0.88,0.8947,,
2023-03-02,0.88,0.9,10660,0.9,0.88,0.8848,22,0.88,0.9,10660,0.9,0.88,0.8848,,
2023-03-03,0.89,0.89,1410,0.89,0.89,0.8944,8,0.89,0.89,1410,0.89,0.89,0.8944,,
2023-03-06,0.885,0.8882,2161,0.9,0.885,0.8893,11,0.885,0.8882,2161,0.9,0.885,0.8893,,
2023-03-07,0.89,0.8896,74574,0.8901,0.87,0.8803,445,0.89,0.8896,74574,0.8901,0.87,0.8803,,
2023-03-08,0.88,0.8799,7759,0.8801,0.8799,0.88,11,0.88,0.8799,7759,0.8801,0.8799,0.88,,
2023-03-09,0.7999,0.82,3644,0.8699,0.7999,0.829,30,0.7999,0.82,3644,0.8699,0.7999,0.829,,
2023-03-10,0.8353,0.8404,3134,0.8404,0.8004,0.8165,10,0.8353,0.8404,3134,0.8404,0.8004,0.8165,,
2023-03-13,0.8404,0.8004,437,0.8404,0.8004,0.811,8,0.8404,0.8004,437,0.8404,0.8004,0.811,,
2023-03-14,0.8203,0.8379,27126,0.8404,0.8194,0.8289,43,0.8203,0.8379,27126,0.8404,0.8194,0.8289,,
2023-03-15,0.8004,0.8804,16481,0.8804,0.8004,0.8538,58,0.8004,0.8804,16481,0.8804,0.8004,0.8538,,
2023-03-16,0.8208,0.8814,8608,0.8814,0.8204,0.8639,42,0.8208,0.8814,8608,0.8814,0.8204,0.8639,,
2023-03-17,0.8207,0.8207,158,0.8207,0.8207,0.8326,6,0.8207,0.8207,158,0.8207,0.8207,0.8326,,
2023-03-20,0.8693,0.8904,5473,0.8904,0.8693,0.8781,17,0.8693,0.8904,5473,0.8904,0.8693,0.8781,,
2023-03-21,0.8814,0.8804,8433,0.8816,0.8804,0.8805,15,0.8814,0.8804,8433,0.8816,0.8804,0.8805,,
2023-03-22,0.8794,0.8804,27290,0.8804,0.8794,0.8804,7,0.8794,0.8804,27290,0.8804,0.8794,0.8804,,
2023-03-23,0.8805,0.8804,8204,0.8805,0.8804,0.8804,3,0.8805,0.8804,8204,0.8805,0.8804,0.8804,,
2023-03-24,0.8805,0.8804,67744,0.8805,0.8804,0.8804,24,0.8805,0.8804,67744,0.8805,0.8804,0.8804,,
2023-03-27,0.9305,0.9004,4614,0.9305,0.8805,0.9137,17,0.9305,0.9004,4614,0.9305,0.8805,0.9137,,
2023-03-28,0.8854,0.8974,16328,0.9004,0.8854,0.8942,13,0.8854,0.8974,16328,0.9004,0.8854,0.8942,,
2023-03-29,0.8904,0.8805,7528,0.8904,0.8804,0.8814,17,0.8904,0.8805,7528,0.8904,0.8804,0.8814,,
2023-03-30,0.8904,0.8804,17123,0.8904,0.8804,0.8805,7,0.8904,0.8804,17123,0.8904,0.8804,0.8805,,
2023-03-31,0.8904,0.8804,200,0.8904,0.8804,0.8854,2,0.8904,0.8804,200,0.8904,0.8804,0.8854,,
