Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.0375,0.0389,557,0.0389,0.0375,0.0378,5,0.0375,0.0389,557,0.0389,0.0375,0.0378,,
2023-03-02,0.0385,0.0385,25100,0.0385,0.0385,0.0385,2,0.0385,0.0385,25100,0.0385,0.0385,0.0385,,
2023-03-03,0.0397,0.0425,700,0.0425,0.0397,0.0421,2,0.0397,0.0425,700,0.0425,0.0397,0.0421,,
2023-03-06,0.0425,0.0481,144700,0.05,0.0425,0.0487,30,0.0425,0.0481,144700,0.05,0.0425,0.0487,,
2023-03-07,0.05,0.05,14614,0.05,0.05,0.05,2,0.05,0.05,14614,0.05,0.05,0.05,,
2023-03-09,0.08,0.1066,3304,0.1066,0.08,0.0888,17,0.08,0.1066,3304,0.1066,0.08,0.0888,,
2023-03-10,0.09,0.09,12106,0.09,0.075,0.0896,11,0.09,0.09,12106,0.09,0.075,0.0896,,
2023-03-13,0.0735,0.0595,42115,0.1019,0.0472,0.072,58,0.0735,0.0595,42115,0.1019,0.0472,0.072,,
2023-03-14,0.0755,0.0799,43550,0.2022,0.0438,0.0796,230,0.0755,0.0799,43550,0.2022,0.0438,0.0796,,
2023-03-15,0.0899,0.1072,14559,0.23,0.0626,0.1329,174,0.0899,0.1072,14559,0.23,0.0626,0.1329,,
2023-03-16,0.1247,0.09,10221,0.1857,0.0638,0.0997,114,0.1247,0.09,10221,0.1857,0.0638,0.0997,,
2023-03-17,0.1691,0.0766,26177,0.1701,0.0766,0.0893,64,0.1691,0.0766,26177,0.1701,0.0766,0.0893,,
2023-03-20,0.1424,0.0835,15270,0.1502,0.0835,0.1002,71,0.1424,0.0835,15270,0.1502,0.0835,0.1002,,
2023-03-21,0.0911,0.0927,4927,0.0927,0.0822,0.0894,18,0.0911,0.0927,4927,0.0927,0.0822,0.0894,,
2023-03-22,0.09,0.0822,79929,0.0938,0.0822,0.09,15,0.09,0.0822,79929,0.0938,0.0822,0.09,,
2023-03-23,0.0916,0.0893,1632,0.097,0.0893,0.0934,19,0.0916,0.0893,1632,0.097,0.0893,0.0934,,
2023-03-24,0.0893,0.0792,8436,0.092,0.0792,0.0887,27,0.0893,0.0792,8436,0.092,0.0792,0.0887,,
2023-03-28,0.0883,0.0882,331,0.0883,0.0882,0.0784,5,0.0883,0.0882,331,0.0883,0.0882,0.0784,,
2023-03-30,0.0788,0.058,229,0.0788,0.058,0.0683,3,0.0788,0.058,229,0.0788,0.058,0.0683,,
