Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.0801,0.0801,400,0.0801,0.08,0.0801,4,0.0801,0.0801,400,0.0801,0.08,0.0801,,
2023-03-03,0.07,0.07,339,0.07,0.07,0.07,1,0.07,0.07,339,0.07,0.07,0.07,,
2023-03-06,0.0769,0.0651,40282,0.0769,0.0651,0.0655,11,0.0769,0.0651,40282,0.0769,0.0651,0.0655,,
2023-03-07,0.0651,0.09,12016,0.09,0.0651,0.0721,3,0.0651,0.09,12016,0.09,0.0651,0.0721,,
2023-03-09,0.075,0.085,2600,0.085,0.075,0.0804,3,0.075,0.085,2600,0.085,0.075,0.0804,,
2023-03-13,0.078,0.078,455,0.078,0.078,0.078,1,0.078,0.078,455,0.078,0.078,0.078,,
2023-03-14,0.0805,0.0753,3912,0.0805,0.071,0.0754,4,0.0805,0.0753,3912,0.0805,0.071,0.0754,,
2023-03-17,0.071,0.071,182,0.071,0.071,0.0694,3,0.071,0.071,182,0.071,0.071,0.0694,,
2023-03-20,0.06,0.06,420,0.06,0.06,0.06,1,0.06,0.06,420,0.06,0.06,0.06,,
2023-03-22,0.06,0.06,50198,0.06,0.055,0.0599,244,0.06,0.06,50198,0.06,0.055,0.0599,,
2023-03-23,0.06,0.06,200,0.06,0.06,0.06,2,0.06,0.06,200,0.06,0.06,0.06,,
2023-03-28,0.0601,0.0249,51266,0.0601,0.0201,0.0481,46,0.0601,0.0249,51266,0.0601,0.0201,0.0481,,
2023-03-29,0.035,0.035,2891,0.035,0.035,0.035,1,0.035,0.035,2891,0.035,0.035,0.035,,
