Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.075,0.075,3833,0.075,0.0749,0.075,8,0.075,0.075,3833,0.075,0.0749,0.075,,
2023-03-03,0.075,0.075,20024,0.075,0.075,0.075,21,0.075,0.075,20024,0.075,0.075,0.075,,
2023-03-06,0.0901,0.075,64777,0.0927,0.05,0.0812,137,0.0901,0.075,64777,0.0927,0.05,0.0812,,
2023-03-07,0.077,0.0701,4833,0.0771,0.07,0.0723,19,0.077,0.0701,4833,0.0771,0.07,0.0723,,
2023-03-08,0.07,0.07,2516,0.0701,0.07,0.07,10,0.07,0.07,2516,0.0701,0.07,0.07,,
2023-03-09,0.0701,0.0525,44673,0.0701,0.05,0.0624,72,0.0701,0.0525,44673,0.0701,0.05,0.0624,,
2023-03-10,0.052,0.05,1518,0.052,0.05,0.0507,5,0.052,0.05,1518,0.052,0.05,0.0507,,
2023-03-14,0.0502,0.0502,100,0.0502,0.0502,0.0502,1,0.0502,0.0502,100,0.0502,0.0502,0.0502,,
2023-03-16,0.0689,0.1151,36134,0.1201,0.0634,0.0917,77,0.0689,0.1151,36134,0.1201,0.0634,0.0917,,
2023-03-21,0.0521,0.051,1923,0.0521,0.051,0.0539,3,0.0521,0.051,1923,0.0521,0.051,0.0539,,
2023-03-22,0.08,0.08,3080,0.0851,0.08,0.0819,20,0.08,0.08,3080,0.0851,0.08,0.0819,,
2023-03-24,0.08,0.075,936,0.08,0.075,0.0782,5,0.08,0.075,936,0.08,0.075,0.0782,,
2023-03-27,0.05,0.05,332744,0.06,0.05,0.05,169,0.05,0.05,332744,0.06,0.05,0.05,,
2023-03-28,0.05,0.05,33721,0.051,0.05,0.05,24,0.05,0.05,33721,0.051,0.05,0.05,,
2023-03-30,0.05,0.05,17542,0.05,0.05,0.05,3,0.05,0.05,17542,0.05,0.05,0.05,,
