Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,0.09,0.0814,1400,0.09,0.0814,0.0885,5,0.09,0.0814,1400,0.09,0.0814,0.0885,,
2023-03-03,0.075,0.07,7111,0.075,0.07,0.0704,20,0.075,0.07,7111,0.075,0.07,0.0704,,
2023-03-06,0.0622,0.0622,1989,0.0622,0.0622,0.0622,1,0.0622,0.0622,1989,0.0622,0.0622,0.0622,,
2023-03-07,0.0622,0.0617,14000,0.0641,0.0617,0.0619,11,0.0622,0.0617,14000,0.0641,0.0617,0.0619,,
2023-03-08,0.063,0.0616,23499,0.0643,0.0616,0.0618,16,0.063,0.0616,23499,0.0643,0.0616,0.0618,,
2023-03-15,0.0616,0.0616,2001,0.0616,0.0616,0.0616,1,0.0616,0.0616,2001,0.0616,0.0616,0.0616,,
2023-03-16,0.0616,0.0616,3002,0.0616,0.0616,0.0616,1,0.0616,0.0616,3002,0.0616,0.0616,0.0616,,
2023-03-17,0.0617,0.0616,5003,0.0617,0.0616,0.0617,3,0.0617,0.0616,5003,0.0617,0.0616,0.0617,,
2023-03-21,0.0616,0.0616,2501,0.0616,0.0616,0.0616,3,0.0616,0.0616,2501,0.0616,0.0616,0.0616,,
2023-03-30,0.0616,0.058,196299,0.0616,0.058,0.0693,33,0.0616,0.058,196299,0.0616,0.058,0.0693,,
2023-03-31,0.0511,0.0511,648,0.0511,0.0511,0.0539,3,0.0511,0.0511,648,0.0511,0.0511,0.0539,,
