Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.1,0.1,225,0.1,0.1,0.1,3,0.1,0.1,225,0.1,0.1,0.1,,
2023-03-03,0.09,0.09,1100,0.09,0.09,0.0873,4,0.09,0.09,1100,0.09,0.09,0.0873,,
2023-03-06,0.09,0.09,100,0.09,0.09,0.09,1,0.09,0.09,100,0.09,0.09,0.09,,
2023-03-13,0.0811,0.0456,4484,0.0811,0.0254,0.0369,51,0.0811,0.0456,4484,0.0811,0.0254,0.0369,,
2023-03-14,0.0554,0.0308,4206,0.0797,0.0308,0.0561,44,0.0554,0.0308,4206,0.0797,0.0308,0.0561,,
2023-03-15,0.026,0.085,9310,0.085,0.0253,0.0593,51,0.026,0.085,9310,0.085,0.0253,0.0593,,
2023-03-16,0.0548,0.0548,13621,0.08,0.0252,0.0418,137,0.0548,0.0548,13621,0.08,0.0252,0.0418,,
2023-03-17,0.0799,0.0395,10716,0.0799,0.0254,0.0493,120,0.0799,0.0395,10716,0.0799,0.0254,0.0493,,
2023-03-20,0.0567,0.055,8418,0.0798,0.0266,0.0544,101,0.0567,0.055,8418,0.0798,0.0266,0.0544,,
2023-03-21,0.0609,0.047,3988,0.0609,0.0281,0.0386,26,0.0609,0.047,3988,0.0609,0.0281,0.0386,,
2023-03-22,0.0281,0.0281,330,0.0281,0.0281,0.0395,9,0.0281,0.0281,330,0.0281,0.0281,0.0395,,
2023-03-23,0.0678,0.0386,2667,0.0678,0.0281,0.0439,28,0.0678,0.0386,2667,0.0678,0.0281,0.0439,,
2023-03-30,0.0576,0.0544,901,0.0576,0.0495,0.0524,10,0.0576,0.0544,901,0.0576,0.0495,0.0524,,
