Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.1003,0.1,2624,0.1099,0.0986,0.1074,8,0.1003,0.1,2624,0.1099,0.0986,0.1074,,
2023-03-02,0.0986,0.09,3296,0.0987,0.09,0.0973,10,0.0986,0.09,3296,0.0987,0.09,0.0973,,
2023-03-03,0.0914,0.1278,8360,0.1385,0.0914,0.1099,25,0.0914,0.1278,8360,0.1385,0.0914,0.1099,,
2023-03-06,0.098,0.0944,31789,0.1,0.0864,0.0912,49,0.098,0.0944,31789,0.1,0.0864,0.0912,,
2023-03-07,0.09,0.0898,7897,0.09,0.0864,0.0897,21,0.09,0.0898,7897,0.09,0.0864,0.0897,,
2023-03-08,0.1142,0.0781,11908,0.12,0.0781,0.0971,41,0.1142,0.0781,11908,0.12,0.0781,0.0971,,
2023-03-09,0.078,0.0837,22533,0.1,0.078,0.0806,31,0.078,0.0837,22533,0.1,0.078,0.0806,,
2023-03-10,0.098,0.0868,9780,0.1001,0.0868,0.097,17,0.098,0.0868,9780,0.1001,0.0868,0.097,,
2023-03-13,0.0899,0.0898,5234,0.0899,0.0712,0.0852,15,0.0899,0.0898,5234,0.0899,0.0712,0.0852,,
2023-03-14,0.09,0.0887,10382,0.09,0.0875,0.0899,22,0.09,0.0887,10382,0.09,0.0875,0.0899,,
2023-03-15,0.0879,0.0879,300,0.088,0.0879,0.0879,3,0.0879,0.0879,300,0.088,0.0879,0.0879,,
2023-03-16,0.0899,0.0899,7564,0.0899,0.0898,0.0899,7,0.0899,0.0899,7564,0.0899,0.0898,0.0899,,
2023-03-17,0.0701,0.0881,16127,0.0881,0.0701,0.0803,40,0.0701,0.0881,16127,0.0881,0.0701,0.0803,,
2023-03-20,0.0851,0.091,6153,0.091,0.085,0.0862,9,0.0851,0.091,6153,0.091,0.085,0.0862,,
2023-03-21,0.1001,0.0947,73560,0.1139,0.016,0.0642,213,0.1001,0.0947,73560,0.1139,0.016,0.0642,,
2023-03-22,0.07,0.09,2741,0.0999,0.07,0.0927,19,0.07,0.09,2741,0.0999,0.07,0.0927,,
2023-03-23,0.0896,0.0932,27749,0.0932,0.08,0.0821,24,0.0896,0.0932,27749,0.0932,0.08,0.0821,,
2023-03-24,0.08,0.0691,15949,0.0975,0.0674,0.0773,50,0.08,0.0691,15949,0.0975,0.0674,0.0773,,
2023-03-27,0.065,0.063,37986,0.065,0.0321,0.049,53,0.065,0.063,37986,0.065,0.0321,0.049,,
2023-03-28,0.06,0.059,7150,0.06,0.055,0.0586,25,0.06,0.059,7150,0.06,0.055,0.0586,,
2023-03-29,0.031,0.0699,11642,0.07,0.031,0.0651,18,0.031,0.0699,11642,0.07,0.031,0.0651,,
2023-03-30,0.069,0.0689,4142,0.069,0.0689,0.0686,8,0.069,0.0689,4142,0.069,0.0689,0.0686,,
2023-03-31,0.0685,0.0685,5276,0.0688,0.0592,0.0663,22,0.0685,0.0685,5276,0.0688,0.0592,0.0663,,
