Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.061,0.096,6000,0.096,0.06,0.0782,18,0.061,0.096,6000,0.096,0.06,0.0782,,
2023-03-08,0.0944,0.0514,20041,0.0944,0.051,0.0616,67,0.0944,0.0514,20041,0.0944,0.051,0.0616,,
2023-03-09,0.051,0.0555,4800,0.061,0.051,0.0538,44,0.051,0.0555,4800,0.061,0.051,0.0538,,
2023-03-10,0.056,0.0514,5409,0.1003,0.0514,0.071,62,0.056,0.0514,5409,0.1003,0.0514,0.071,,
2023-03-13,0.055,0.0571,7994,0.07,0.055,0.0672,23,0.055,0.0571,7994,0.07,0.055,0.0672,,
2023-03-14,0.0699,0.1401,29533,0.1401,0.0699,0.1048,95,0.0699,0.1401,29533,0.1401,0.0699,0.1048,,
2023-03-15,0.1071,0.0921,1001,0.1071,0.0903,0.0972,10,0.1071,0.0921,1001,0.1071,0.0903,0.0972,,
2023-03-16,0.08,0.08,1581,0.081,0.08,0.0801,4,0.08,0.08,1581,0.081,0.08,0.0801,,
2023-03-17,0.067,0.0661,200,0.067,0.0661,0.0666,2,0.067,0.0661,200,0.067,0.0661,0.0666,,
2023-03-21,0.053,0.0691,7504,0.0691,0.05,0.053,17,0.053,0.0691,7504,0.0691,0.05,0.053,,
2023-03-22,0.0999,0.1001,1001,0.1001,0.0999,0.1001,2,0.0999,0.1001,1001,0.1001,0.0999,0.1001,,
2023-03-23,0.0696,0.0696,100,0.0696,0.0696,0.0696,1,0.0696,0.0696,100,0.0696,0.0696,0.0696,,
2023-03-28,0.05,0.05,61689,0.05,0.05,0.05,1,0.05,0.05,61689,0.05,0.05,0.05,,
2023-03-29,0.0504,0.0518,6921,0.0883,0.0495,0.0529,34,0.0504,0.0518,6921,0.0883,0.0495,0.0529,,
2023-03-30,0.0919,0.0614,1603,0.0919,0.0614,0.0787,19,0.0919,0.0614,1603,0.0919,0.0614,0.0787,,
