Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,0.056,0.055,42573,0.059,0.052,0.0555,63,0.056,0.055,42573,0.059,0.052,0.0555,,
2023-03-03,0.055,0.055,5000,0.055,0.055,0.055,5,0.055,0.055,5000,0.055,0.055,0.055,,
2023-03-08,0.055,0.0524,26397,0.055,0.041,0.0494,51,0.055,0.0524,26397,0.055,0.041,0.0494,,
2023-03-09,0.06,0.0501,6526,0.06,0.05,0.0538,9,0.06,0.0501,6526,0.06,0.05,0.0538,,
2023-03-16,0.05,0.05,66699,0.05,0.05,0.05,10,0.05,0.05,66699,0.05,0.05,0.05,,
2023-03-22,0.05,0.05,31916,0.05,0.05,0.05,1,0.05,0.05,31916,0.05,0.05,0.05,,
2023-03-24,0.05,0.05,256,0.05,0.05,0.0544,3,0.05,0.05,256,0.05,0.05,0.0544,,
2023-03-27,0.06,0.06,483,0.06,0.06,0.06,2,0.06,0.06,483,0.06,0.06,0.06,,
2023-03-29,0.0621,0.0621,300,0.0621,0.0621,0.0614,4,0.0621,0.0621,300,0.0621,0.0621,0.0614,,
2023-03-31,0.055,0.055,542,0.055,0.055,0.055,3,0.055,0.055,542,0.055,0.055,0.055,,
