Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.0249,0.0229,76300,0.0273,0.0212,0.024,41,0.0249,0.0229,76300,0.0273,0.0212,0.024,,
2023-03-02,0.029,0.0252,3050,0.029,0.0252,0.0269,4,0.029,0.0252,3050,0.029,0.0252,0.0269,,
2023-03-03,0.0253,0.0275,19550,0.0275,0.024,0.026,16,0.0253,0.0275,19550,0.0275,0.024,0.026,,
2023-03-06,0.0261,0.0236,76850,0.0269,0.0233,0.0258,62,0.0261,0.0236,76850,0.0269,0.0233,0.0258,,
2023-03-07,0.023,0.026,11194,0.026,0.023,0.0255,11,0.023,0.026,11194,0.026,0.023,0.0255,,
2023-03-08,0.026,0.026,35496,0.026,0.023,0.0239,17,0.026,0.026,35496,0.026,0.023,0.0239,,
2023-03-09,0.026,0.0248,15501,0.029,0.0248,0.0273,19,0.026,0.0248,15501,0.029,0.0248,0.0273,,
2023-03-10,0.0218,0.027,170916,0.027,0.0164,0.0214,29,0.0218,0.027,170916,0.027,0.0164,0.0214,,
2023-03-13,0.024,0.0199,15674,0.0245,0.0199,0.0233,29,0.024,0.0199,15674,0.0245,0.0199,0.0233,,
2023-03-14,0.0223,0.0191,48724,0.0229,0.0175,0.0208,27,0.0223,0.0191,48724,0.0229,0.0175,0.0208,,
2023-03-15,0.0214,0.0209,3370,0.0214,0.0209,0.0211,8,0.0214,0.0209,3370,0.0214,0.0209,0.0211,,
2023-03-16,0.0235,0.0222,16558,0.0265,0.02,0.0248,39,0.0235,0.0222,16558,0.0265,0.02,0.0248,,
2023-03-17,0.0248,0.026,6134,0.0351,0.0248,0.0275,27,0.0248,0.026,6134,0.0351,0.0248,0.0275,,
2023-03-20,0.0249,0.026,4502,0.0269,0.023,0.0242,5,0.0249,0.026,4502,0.0269,0.023,0.0242,,
2023-03-21,0.029,0.0165,50935,0.029,0.0153,0.0192,264,0.029,0.0165,50935,0.029,0.0153,0.0192,,
2023-03-22,0.0185,0.0223,8504,0.0273,0.0185,0.0215,22,0.0185,0.0223,8504,0.0273,0.0185,0.0215,,
2023-03-23,0.0223,0.0249,6703,0.0249,0.0223,0.0246,3,0.0223,0.0249,6703,0.0249,0.0223,0.0246,,
2023-03-24,0.025,0.0249,2001,0.025,0.0249,0.025,6,0.025,0.0249,2001,0.025,0.0249,0.025,,
2023-03-27,0.025,0.0233,18986,0.025,0.022,0.0245,40,0.025,0.0233,18986,0.025,0.022,0.0245,,
2023-03-28,0.0233,0.0221,95430,0.0249,0.0156,0.0173,35,0.0233,0.0221,95430,0.0249,0.0156,0.0173,,
2023-03-29,0.0248,0.0247,8704,0.025,0.0247,0.0248,7,0.0248,0.0247,8704,0.025,0.0247,0.0248,,
2023-03-30,0.0249,0.0249,4007,0.0249,0.0249,0.0249,3,0.0249,0.0249,4007,0.0249,0.0249,0.0249,,
2023-03-31,0.0248,0.022,40924,0.025,0.022,0.0243,39,0.0248,0.022,40924,0.025,0.022,0.0243,,
