Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-03,0.22,0.18,5104,0.2497,0.18,0.1898,23,0.22,0.18,5104,0.2497,0.18,0.1898,,
2023-03-06,0.19,0.185,9238,0.19,0.185,0.1892,20,0.19,0.185,9238,0.19,0.185,0.1892,,
2023-03-07,0.1801,0.1801,493,0.1801,0.1801,0.1801,4,0.1801,0.1801,493,0.1801,0.1801,0.1801,,
2023-03-09,0.1801,0.1801,3750,0.1801,0.1171,0.173,34,0.1801,0.1801,3750,0.1801,0.1171,0.173,,
2023-03-13,0.121,0.1243,1106,0.1243,0.1201,0.1208,7,0.121,0.1243,1106,0.1243,0.1201,0.1208,,
2023-03-14,0.0305,0.1201,7120,0.1486,0.0305,0.088,77,0.0305,0.1201,7120,0.1486,0.0305,0.088,,
2023-03-15,0.1185,0.1652,5908,0.1652,0.035,0.0722,72,0.1185,0.1652,5908,0.1652,0.035,0.0722,,
2023-03-16,0.1656,0.1164,8176,0.1656,0.1115,0.124,80,0.1656,0.1164,8176,0.1656,0.1115,0.124,,
2023-03-17,0.0863,0.0978,924,0.0978,0.0863,0.0839,14,0.0863,0.0978,924,0.0978,0.0863,0.0839,,
2023-03-20,0.0712,0.0901,13745,0.2481,0.0415,0.1337,162,0.0712,0.0901,13745,0.2481,0.0415,0.1337,,
2023-03-21,0.0903,0.1081,9933,0.1466,0.0903,0.1191,81,0.0903,0.1081,9933,0.1466,0.0903,0.1191,,
2023-03-22,0.1381,0.1601,10588,0.2501,0.1101,0.1549,114,0.1381,0.1601,10588,0.2501,0.1101,0.1549,,
2023-03-23,0.1301,0.1565,4460,0.1878,0.1301,0.1591,54,0.1301,0.1565,4460,0.1878,0.1301,0.1591,,
2023-03-24,0.1876,0.1501,2376,0.1876,0.1501,0.1579,26,0.1876,0.1501,2376,0.1876,0.1501,0.1579,,
2023-03-27,0.1152,0.1076,16907,0.1152,0.0455,0.0748,164,0.1152,0.1076,16907,0.1152,0.0455,0.0748,,
2023-03-28,0.1176,0.1064,12237,0.1703,0.1064,0.1328,143,0.1176,0.1064,12237,0.1703,0.1064,0.1328,,
2023-03-29,0.1239,0.1101,14919,0.1439,0.1101,0.129,163,0.1239,0.1101,14919,0.1439,0.1101,0.129,,
2023-03-30,0.1001,0.1001,100,0.1001,0.1001,0.1001,1,0.1001,0.1001,100,0.1001,0.1001,0.1001,,
